index,Fecha Inicial,Monto,Edad Solicitud,Genero,Dependientes,CP,Ingresos,Egresos,Unidad,Incobrable,Score Agt,TipoZona,CP_Latitud,CP_Longitud,Mes inicial
72809,2023-02-15,3000,62,Femenino,0,62748,0,3000,Cuautla,0,0.912846466,Urbano,18.848171428571423,-98.9604,2
67288,2023-01-09,3000,22,Femenino,1,94420,18000,6500,Orizaba,0,0.999517682,Urbano,18.896316666666667,-97.121975,1
67327,2023-01-06,3000,22,Femenino,0,94310,15500,6800,Orizaba,0,1.003473236,Urbano,18.86438,-97.11274,1
67340,2023-01-06,5000,39,Masculino,2,94330,25000,7500,Orizaba,0,1.006110272,Urbano,18.870228571428573,-97.10114285714285,1
67355,2023-01-06,3000,30,Femenino,2,94300,9500,5500,Orizaba,0,1.018277419,Urbano,18.8508,-97.098,1
67519,2023-01-09,3000,50,Femenino,3,94420,18000,5000,Orizaba,0,1.016434403,Urbano,18.896316666666667,-97.121975,1
69600,2023-01-24,3000,50,Masculino,0,94310,22000,5200,Orizaba,0,1.015201454,Urbano,18.86438,-97.11274,1
70423,2023-01-30,4000,32,Masculino,0,94450,18000,6000,Orizaba,0,1.016192193,Urbano,18.86552,-97.04702,1
71433,2023-02-07,3000,24,Femenino,3,94420,10000,5000,Orizaba,0,1.015222755,Urbano,18.896316666666667,-97.121975,2
71915,2023-02-08,3000,55,Femenino,0,94450,23000,6800,Orizaba,0,1.012360444,Urbano,18.86552,-97.04702,2
72253,2023-02-11,3000,50,Femenino,0,94300,19500,5800,Orizaba,0,1.012016436,Urbano,18.8508,-97.098,2
72560,2023-02-15,3000,33,Masculino,2,94300,0,7000,Orizaba,0,1.011854803,Urbano,18.8508,-97.098,2
72648,2023-02-15,3000,56,Femenino,0,94450,20000,6500,Orizaba,0,1.01446324,Urbano,18.86552,-97.04702,2
67152,2023-01-04,3000,25,Femenino,0,94748,11000,7000,Orizaba,0,1.018800239,Rural,18.7903,-97.1681,1
67589,2023-01-09,5000,43,Femenino,1,94740,8200,5800,Orizaba,0,1.019047845,Rural,18.804,-97.1787,1
67962,2023-01-11,5000,25,Femenino,0,62535,18000,4000,Cuautla,0,0.960952049,Rural,19.017133333333334,-98.9644,1
70527,2023-02-01,3000,51,Femenino,0,62530,7000,0,Cuautla,0,0.986435737,Urbano,19.0251,-98.9793,2
72307,2023-02-14,5000,40,Femenino,0,62530,13000,1500,Cuautla,0,0.993779571,Urbano,19.0251,-98.9793,2
72310,2023-02-14,5000,25,Femenino,0,62530,14000,1000,Cuautla,0,0.994401614,Urbano,19.0251,-98.9793,2
68151,2023-01-11,3000,69,Masculino,0,94300,9900,0,Orizaba,0,0.921147665,Urbano,18.8508,-97.098,1
67402,2023-01-06,5000,46,Femenino,0,62723,11000,0,Cuautla,0,0.991415438,Urbano,18.6373,-98.9905125,1
67835,2023-01-11,4700,34,Femenino,0,62744,12000,0,Cuautla,0,0.991408875,Urbano,18.82298,-98.98586,1
70452,2023-01-30,4000,32,Femenino,1,94463,9000,2500,Orizaba,0,1.008602875,Urbano,18.8746,-97.03741111111113,1
70455,2023-01-30,4500,39,Femenino,2,94463,8000,2500,Orizaba,0,1.018675367,Urbano,18.8746,-97.03741111111113,1
70919,2023-02-03,4500,64,Femenino,0,94463,9000,4500,Orizaba,0,1.024769645,Urbano,18.8746,-97.03741111111113,2
76385,2023-03-13,4000,31,Femenino,1,94453,8500,2500,Orizaba,0,1.192653974,Rural,18.8822,-97.04705,3
76170,2023-03-13,5000,65,Femenino,0,68157,10800,2500,Oaxaca,1,1.021842866,Urbano,17.05325,-96.74495,3
73144,2023-02-18,3000,42,Femenino,0,94732,10000,2000,Orizaba,0,1.016462345,Urbano,18.84103333333333,-97.13744,2
73679,2023-02-22,3000,48,Femenino,1,94732,6500,3500,Orizaba,0,0.980109311,Urbano,18.84103333333333,-97.13744,2
