id_solicitud,Fecha Inicial,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Incobrable,Score Agt,Mes inicial
71677,2023-02-08,8000,55,Femenino,0,0,4000,0,0.0,2
121744,2024-01-31,3000,18,Femenino,0,6000,3000,1,0.0,1
69758,2023-01-25,3000,18,Femenino,0,7200,4000,0,0.0,1
72809,2023-02-15,3000,62,Femenino,0,0,3000,0,0.912846466,2
66301,2023-01-02,3000,35,Femenino,1,15600,2500,0,0.0,1
67288,2023-01-09,3000,22,Femenino,1,18000,6500,0,0.999517682,1
67327,2023-01-06,3000,22,Femenino,0,15500,6800,0,1.003473236,1
67340,2023-01-06,5000,39,Masculino,2,25000,7500,0,1.006110272,1
67355,2023-01-06,3000,30,Femenino,2,9500,5500,0,1.018277419,1
67519,2023-01-09,3000,50,Femenino,3,18000,5000,0,1.016434403,1
69600,2023-01-24,3000,50,Masculino,0,22000,5200,0,1.015201454,1
70423,2023-01-30,4000,32,Masculino,0,18000,6000,0,1.016192193,1
71433,2023-02-07,3000,24,Femenino,3,10000,5000,0,1.015222755,2
71915,2023-02-08,3000,55,Femenino,0,23000,6800,0,1.012360444,2
72253,2023-02-11,3000,50,Femenino,0,19500,5800,0,1.012016436,2
72560,2023-02-15,3000,33,Masculino,2,0,7000,0,1.011854803,2
72648,2023-02-15,3000,56,Femenino,0,20000,6500,0,1.01446324,2
67152,2023-01-04,3000,25,Femenino,0,11000,7000,0,1.018800239,1
67589,2023-01-09,5000,43,Femenino,1,8200,5800,0,1.019047845,1
67962,2023-01-11,5000,25,Femenino,0,18000,4000,0,0.960952049,1
70527,2023-02-01,3000,51,Femenino,0,7000,0,0,0.986435737,2
72307,2023-02-14,5000,40,Femenino,0,13000,1500,0,0.993779571,2
72310,2023-02-14,5000,25,Femenino,0,14000,1000,0,0.994401614,2
68151,2023-01-11,3000,69,Masculino,0,9900,0,0,0.921147665,1
67402,2023-01-06,5000,46,Femenino,0,11000,0,0,0.991415438,1
67835,2023-01-11,4700,34,Femenino,0,12000,0,0,0.991408875,1
70452,2023-01-30,4000,32,Femenino,1,9000,2500,0,1.008602875,1
70455,2023-01-30,4500,39,Femenino,2,8000,2500,0,1.018675367,1
70919,2023-02-03,4500,64,Femenino,0,9000,4500,0,1.024769645,2
76385,2023-03-13,4000,31,Femenino,1,8500,2500,0,1.192653974,3
76170,2023-03-13,5000,65,Femenino,0,10800,2500,1,1.021842866,3
73144,2023-02-18,3000,42,Femenino,0,10000,2000,0,1.016462345,2
73679,2023-02-22,3000,48,Femenino,1,6500,3500,0,0.980109311,2
66962,2023-01-04,2000,23,Femenino,0,6300,0,0,0.875094776,1
68122,2023-01-11,3500,43,Femenino,0,20000,0,0,0.829649085,1
69853,2023-01-25,5000,37,Femenino,0,6000,0,0,0.869601183,1
66303,2022-12-30,5000,34,Femenino,1,4500,2500,1,0.0,12
66360,2022-12-30,7000,32,Femenino,0,6000,0,0,1.008554338,12
