index,Fecha Inicial,Monto,Edad Solicitud,Genero,Dependientes,CP,Ingresos,Egresos,Unidad,Ciclo,Monto_Ant,Frecuencia_Ant,Incobrable,Score_Ant,Score Agt,TipoZona,CP_Latitud,CP_Longitud,Mes inicial
66857,2023-01-03,14000,45,Femenino,0,72014,7800,5300,Puebla Norte,8,12000,1.063798701,0,0.0,1.0,Urbano,19.104788888888887,-98.20335555555556,1
70265,2023-02-01,7000,46,Femenino,2,94300,10000,9000,Orizaba,3,5000,1.488706366,0,0.0,1.005480607,Urbano,18.8508,-97.098,2
72707,2023-02-15,7000,26,Femenino,1,62748,16000,7500,Cuautla,2,5000,1.134702259,0,0.0,0.825692931,Urbano,18.848171428571423,-98.9604,2
73397,2023-02-21,7000,19,Femenino,1,62756,12500,3000,Cuautla,4,7000,1.001202233,0,0.0,0.88842052,Rural,18.86944,-98.9702,2
75199,2023-03-06,9000,20,Femenino,0,62748,13000,4000,Cuautla,4,7000,1.12379562,0,0.0,0.918313137,Urbano,18.848171428571423,-98.9604,3
75688,2023-03-08,4000,62,Femenino,0,62756,10000,5000,Cuautla,2,3000,1.292413066,0,0.0,0.939270484,Rural,18.86944,-98.9702,3
77054,2023-03-18,10000,44,Femenino,2,62748,18000,7800,Cuautla,4,9000,1.27855747,0,0.0,0.94939207,Urbano,18.848171428571423,-98.9604,3
80452,2023-04-15,5000,35,Femenino,3,62740,16000,4000,Cuautla,2,3000,1.063784247,0,0.0,0.956621775,Urbano,18.8312,-98.9571,4
66716,2023-01-02,3000,44,Femenino,1,94350,8000,7000,Orizaba,3,3500,1.001207521,0,0.0,1.01354824,Urbano,18.85173333333333,-97.11285,1
67048,2023-01-04,7000,53,Masculino,0,62742,22000,0,Cuautla,3,5000,1.001207875,0,0.0,1.00677412,Urbano,18.798328571428573,-98.9511,1
67122,2023-01-04,7000,60,Femenino,0,94330,22000,7200,Orizaba,2,5000,1.292212921,0,0.0,0.999356909,Urbano,18.870228571428573,-97.10114285714285,1
67682,2023-01-10,4000,47,Femenino,0,62742,9000,6000,Cuautla,3,5000,1.134702259,0,0.0,1.015911869,Urbano,18.798328571428573,-98.9511,1
68684,2023-01-17,5000,48,Femenino,0,94310,13000,5500,Orizaba,2,3000,1.804794521,0,0.0,1.016419222,Urbano,18.86438,-97.11274,1
69237,2023-01-20,11000,27,Femenino,2,94300,17000,6500,Orizaba,4,9000,1.063799076,0,0.0,1.016583404,Urbano,18.8508,-97.098,1
69625,2023-01-24,9000,32,Femenino,2,94462,10000,3500,Orizaba,4,7000,1.386618005,0,0.0,1.024560443,Urbano,18.89908,-97.0576,1
69743,2023-01-25,5000,49,Femenino,0,94450,19000,6000,Orizaba,2,3000,1.505603985,0,0.0,1.024649128,Urbano,18.86552,-97.04702,1
69879,2023-01-25,5100,64,Masculino,2,62742,25000,7000,Cuautla,2,3100,1.770419426,0,0.0,1.018801035,Urbano,18.798328571428573,-98.9511,1
70915,2023-02-08,5000,30,Femenino,2,94420,12000,0,Orizaba,2,3000,1.512141968,0,0.0,1.015239711,Urbano,18.896316666666667,-97.121975,2
71548,2023-02-08,3000,51,Femenino,1,62742,8000,6000,Cuautla,4,7000,1.001202233,0,0.0,1.015270014,Urbano,18.798328571428573,-98.9511,2
71554,2023-02-08,4000,53,Masculino,0,62742,11000,7000,Cuautla,3,5000,1.001207875,0,0.0,1.013838966,Urbano,18.798328571428573,-98.9511,2
71592,2023-02-07,10000,35,Masculino,1,94420,15000,7000,Orizaba,5,8000,1.508602651,0,0.0,1.013401264,Urbano,18.896316666666667,-97.121975,2
71667,2023-02-07,12000,44,Femenino,0,94300,22000,7000,Orizaba,6,11000,1.483732509,0,0.0,1.012792115,Urbano,18.8508,-97.098,2
72047,2023-02-10,4000,35,Femenino,1,94300,6000,4500,Orizaba,4,5000,1.198591962,0,0.0,1.01251712,Urbano,18.8508,-97.098,2
72574,2023-02-15,11000,42,Femenino,0,94330,14000,7500,Orizaba,4,9000,1.134719015,0,0.0,1.01422467,Urbano,18.870228571428573,-97.10114285714285,2
73425,2023-02-20,12000,51,Femenino,1,94420,19000,7000,Orizaba,5,10000,1.477768338,0,0.0,1.013964508,Urbano,18.896316666666667,-97.121975,2
73557,2023-02-21,11000,43,Femenino,2,94337,15000,8000,Orizaba,4,9000,1.366820631,0,0.0,1.013499024,Urbano,18.8752,-97.1009,2
74548,2023-03-01,7000,57,Femenino,0,94450,8000,2000,Orizaba,3,5000,1.63449692,0,0.0,1.013063572,Urbano,18.86552,-97.04702,3
81451,2023-04-19,6000,48,Femenino,0,62742,9000,6000,Cuautla,4,4000,1.203479853,0,1.020985398,1.012919272,Urbano,18.798328571428573,-98.9511,4
72457,2023-02-14,10000,45,Femenino,0,94732,12000,8000,Orizaba,4,8000,1.00120355,0,0.0,0.981052864,Urbano,18.84103333333333,-97.13744,2
72460,2023-02-14,5000,48,Femenino,1,94732,7500,6000,Orizaba,2,3000,1.001208703,0,0.0,0.990359586,Urbano,18.84103333333333,-97.13744,2
67791,2023-01-10,6000,37,Femenino,0,62540,15000,2000,Cuautla,3,4000,1.042788462,0,0.0,0.976826153,Urbano,18.9556,-98.9811,1
68046,2023-01-11,7000,46,Femenino,0,62530,15000,3000,Cuautla,3,5000,1.380219028,0,0.0,0.978723964,Urbano,19.0251,-98.9793,1
69697,2023-01-24,9000,29,Femenino,0,62530,15000,4000,Cuautla,3,7000,1.119610706,0,0.0,0.984104372,Urbano,19.0251,-98.9793,1
70085,2023-01-25,5000,19,Masculino,0,62530,16000,7000,Cuautla,2,3000,1.063784247,0,0.0,0.980077841,Urbano,19.0251,-98.9793,1
70939,2023-02-01,10000,54,Femenino,2,62530,16000,7000,Cuautla,3,7000,1.122822384,0,0.0,0.990945809,Urbano,19.0251,-98.9793,2
72190,2023-02-10,7000,52,Femenino,0,62540,15000,3800,Cuautla,2,5000,1.001207875,0,0.0,0.992952494,Urbano,18.9556,-98.9811,2
72379,2023-02-14,9000,53,Masculino,0,62739,21000,6000,Cuautla,3,7000,0.945579886,0,0.0,0.994910558,Rural,18.8391375,-99.0862,2
77017,2023-03-17,5000,52,Masculino,0,62540,12000,6000,Cuautla,3,5000,1.001207875,0,0.0,0.9956967,Urbano,18.9556,-98.9811,3
78999,2023-04-03,10000,40,Femenino,0,62540,15000,4000,Cuautla,3,7000,0.945579886,0,0.0,0.997235951,Urbano,18.9556,-98.9811,4
79006,2023-04-01,5000,64,Femenino,0,62540,12000,2500,Cuautla,3,3000,1.215753425,1,0.0,0.99873908,Urbano,18.9556,-98.9811,4
79010,2023-04-01,5000,51,Femenino,0,62540,14000,0,Cuautla,2,3000,1.063784247,1,0.0,0.999669886,Urbano,18.9556,-98.9811,4
75374,2023-03-06,5000,32,Femenino,0,94380,7000,5000,Orizaba,2,3000,1.379851598,0,0.0,0.963400623,Urbano,18.838225,-97.099325,3
69439,2023-01-23,8200,47,Femenino,0,62743,9500,0,Cuautla,4,8200,0.945641459,0,0.0,0.991403207,Urbano,18.8145,-98.93205,1
71546,2023-02-08,7000,34,Femenino,0,62840,19000,5000,Cuautla,2,5000,1.280366451,1,0.0,0.964130271,Urbano,18.925633333333334,-98.8896,2
73648,2023-02-22,6400,26,Femenino,0,62720,13000,0,Cuautla,2,4400,1.187812188,1,0.0,0.969198152,Rural,18.71114,-98.91674,2
74015,2023-02-22,9000,43,Femenino,0,62826,15000,6000,Cuautla,3,7000,1.199687174,0,0.0,0.974906822,Rural,18.80735,-98.9111,2
81358,2023-04-19,6000,32,Femenino,1,94463,9000,2500,Orizaba,2,4000,1.484848485,0,1.028747859,1.151366731,Urbano,18.8746,-97.03741111111113,4
67246,2023-01-07,5500,47,Femenino,0,68040,19000,5000,Oaxaca,2,5000,1.063783368,0,0.0,1.013666802,Urbano,17.11925,-96.7354,1
67538,2023-01-10,5000,45,Masculino,2,68040,18000,8000,Oaxaca,2,3000,1.001208703,0,0.0,1.015072704,Urbano,17.11925,-96.7354,1
67818,2023-01-11,5000,56,Femenino,1,68026,14000,5000,Oaxaca,2,3700,1.00130719,0,0.0,1.004103093,Rural,17.1095,-96.7103,1
69500,2023-01-23,7000,31,Femenino,1,68000,25000,6000,Oaxaca,2,5000,1.001207875,0,0.0,1.027822434,Urbano,17.0654,-96.7236,1
73024,2023-02-17,7000,57,Femenino,0,68040,13000,4000,Oaxaca,4,7000,1.188216893,0,0.0,1.023401237,Urbano,17.11925,-96.7354,2
75864,2023-03-08,7000,41,Femenino,2,68040,15000,6500,Oaxaca,3,7000,1.001202233,1,0.0,1.025483344,Urbano,17.11925,-96.7354,3
77729,2023-03-22,5000,23,Femenino,0,68000,15000,4000,Oaxaca,2,3000,1.063784247,0,0.0,1.012720073,Urbano,17.0654,-96.7236,3
68181,2023-01-11,5000,40,Femenino,1,94723,7000,3000,Orizaba,2,3000,1.20425636,0,0.0,1.078099801,Rural,18.80123333333333,-97.19875,1
70669,2023-01-31,5000,66,Femenino,0,94732,9000,0,Orizaba,2,3000,1.134703196,0,0.0,1.038227323,Urbano,18.84103333333333,-97.13744,1
78496,2023-03-28,7000,61,Masculino,0,94732,8000,2500,Orizaba,3,5000,1.203578762,0,0.0,0.98485287,Urbano,18.84103333333333,-97.13744,3
69573,2023-01-24,8000,35,Femenino,0,74420,5000,0,Puebla Poniente,5,6000,1.278600446,0,0.0,0.822484136,Semiurbano,18.59325,-98.45186666666666,1
67193,2023-01-09,6000,35,Femenino,0,94140,6000,0,Cordoba,2,5000,1.063783368,0,0.0,1.011988472,Urbano,19.048354545454547,-97.09525454545457,1
68371,2023-01-16,5000,20,Femenino,0,94140,5500,0,Cordoba,2,3000,1.063784247,0,0.0,1.009706212,Urbano,19.048354545454547,-97.09525454545457,1
71794,2023-02-08,5000,28,Femenino,0,94794,7000,4500,Orizaba,2,3000,1.759893455,0,0.0,1.078492862,Rural,18.8283,-97.1058,2
73806,2023-02-22,5000,58,Femenino,0,94380,6000,5000,Orizaba,2,3000,1.485990037,0,0.0,1.062869117,Urbano,18.838225,-97.099325,2
77401,2023-03-20,7000,35,Femenino,2,94350,8000,7000,Orizaba,3,5000,1.804699977,0,1.078492862,1.010815495,Urbano,18.85173333333333,-97.11285,3
69547,2023-01-27,7000,53,Femenino,0,94480,10000,0,Cordoba,2,5000,1.280366451,0,0.0,1.014122521,Unknown,18.953016666666667,-96.94738333333332,1
78347,2023-03-28,8000,42,Femenino,0,94552,5600,0,Cordoba,2,3000,1.063784247,0,0.0,1.024082972,Rural,18.9387,-96.96533333333332,3
69060,2023-01-18,7000,45,Femenino,2,72680,12000,9000,Puebla Norte,2,5000,1.063783368,0,0.0,1.061873543,Rural,19.1341,-98.2834,1
71853,2023-02-08,7000,36,Masculino,3,72680,14000,8000,Puebla Norte,2,5000,1.001207875,0,0.0,1.052799992,Rural,19.1341,-98.2834,2
72544,2023-02-13,5000,55,Femenino,0,72670,20000,0,Puebla Norte,2,5000,0.895817573,1,0.0,1.032823899,Rural,19.136,-98.30565,2
73306,2023-02-18,7000,36,Femenino,2,72680,15000,9000,Puebla Norte,2,5000,1.123066393,0,0.0,0.96332436,Rural,19.1341,-98.2834,2
78485,2023-03-28,9000,45,Femenino,2,72680,12000,9000,Puebla Norte,3,7000,1.632116788,0,1.043726442,0.989740377,Rural,19.1341,-98.2834,3
68017,2023-01-11,5000,45,Femenino,1,70450,15000,8000,Oaxaca,2,3000,1.063784247,0,0.0,1.007413553,Rural,17.0059,-96.6192,1
68030,2023-01-11,5000,34,Femenino,1,70424,6000,0,Oaxaca,2,3000,1.063784247,0,0.0,1.007296244,Urbano,17.021250000000002,-96.59765,1
67076,2023-01-04,5000,23,Femenino,0,94480,16000,0,Cordoba,2,4000,1.063782051,0,0.0,1.06148307,Unknown,18.953016666666667,-96.94738333333332,1
67741,2023-01-11,12000,37,Femenino,0,94480,6000,0,Cordoba,3,8000,1.204146876,0,0.0,1.038882365,Unknown,18.953016666666667,-96.94738333333332,1
