id_solicitud,Fecha Inicial,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Ciclo,Monto_Ant,Frecuencia_Ant,Incobrable,Score_Ant,Score Agt,Mes inicial
66494,2022-12-30,11000,24,Femenino,0,12400,1000,8,9000,1.063799076,0,0.0,0.0,12
66857,2023-01-03,14000,45,Femenino,0,7800,5300,8,12000,1.063798701,0,0.0,1.0,1
72961,2023-02-21,5000,29,Femenino,0,12000,4000,2,3000,1.198630137,1,0.0,0.0,2
66533,2022-12-30,7000,35,Masculino,0,7000,200,4,5000,1.202552068,0,0.0,0.0,12
69435,2023-01-23,6000,65,Femenino,0,10000,3500,3,5000,1.482172858,0,0.0,0.0,1
70265,2023-02-01,7000,46,Femenino,2,10000,9000,3,5000,1.488706366,0,0.0,1.005480607,2
72707,2023-02-15,7000,26,Femenino,1,16000,7500,2,5000,1.134702259,0,0.0,0.825692931,2
73397,2023-02-21,7000,19,Femenino,1,12500,3000,4,7000,1.001202233,0,0.0,0.88842052,2
75199,2023-03-06,9000,20,Femenino,0,13000,4000,4,7000,1.12379562,0,0.0,0.918313137,3
75688,2023-03-08,4000,62,Femenino,0,10000,5000,2,3000,1.292413066,0,0.0,0.939270484,3
77054,2023-03-18,10000,44,Femenino,2,18000,7800,4,9000,1.27855747,0,0.0,0.94939207,3
80452,2023-04-15,5000,35,Femenino,3,16000,4000,2,3000,1.063784247,0,0.0,0.956621775,4
66716,2023-01-02,3000,44,Femenino,1,8000,7000,3,3500,1.001207521,0,0.0,1.01354824,1
67048,2023-01-04,7000,53,Masculino,0,22000,0,3,5000,1.001207875,0,0.0,1.00677412,1
67122,2023-01-04,7000,60,Femenino,0,22000,7200,2,5000,1.292212921,0,0.0,0.999356909,1
67682,2023-01-10,4000,47,Femenino,0,9000,6000,3,5000,1.134702259,0,0.0,1.015911869,1
68684,2023-01-17,5000,48,Femenino,0,13000,5500,2,3000,1.804794521,0,0.0,1.016419222,1
69237,2023-01-20,11000,27,Femenino,2,17000,6500,4,9000,1.063799076,0,0.0,1.016583404,1
69625,2023-01-24,9000,32,Femenino,2,10000,3500,4,7000,1.386618005,0,0.0,1.024560443,1
69743,2023-01-25,5000,49,Femenino,0,19000,6000,2,3000,1.505603985,0,0.0,1.024649128,1
69879,2023-01-25,5100,64,Masculino,2,25000,7000,2,3100,1.770419426,0,0.0,1.018801035,1
70915,2023-02-08,5000,30,Femenino,2,12000,0,2,3000,1.512141968,0,0.0,1.015239711,2
71548,2023-02-08,3000,51,Femenino,1,8000,6000,4,7000,1.001202233,0,0.0,1.015270014,2
71554,2023-02-08,4000,53,Masculino,0,11000,7000,3,5000,1.001207875,0,0.0,1.013838966,2
71592,2023-02-07,10000,35,Masculino,1,15000,7000,5,8000,1.508602651,0,0.0,1.013401264,2
71667,2023-02-07,12000,44,Femenino,0,22000,7000,6,11000,1.483732509,0,0.0,1.012792115,2
72047,2023-02-10,4000,35,Femenino,1,6000,4500,4,5000,1.198591962,0,0.0,1.01251712,2
72574,2023-02-15,11000,42,Femenino,0,14000,7500,4,9000,1.134719015,0,0.0,1.01422467,2
73425,2023-02-20,12000,51,Femenino,1,19000,7000,5,10000,1.477768338,0,0.0,1.013964508,2
73557,2023-02-21,11000,43,Femenino,2,15000,8000,4,9000,1.366820631,0,0.0,1.013499024,2
74548,2023-03-01,7000,57,Femenino,0,8000,2000,3,5000,1.63449692,0,0.0,1.013063572,3
81451,2023-04-19,6000,48,Femenino,0,9000,6000,4,4000,1.203479853,0,1.020985398,1.012919272,4
66722,2023-01-03,4000,36,Femenino,0,6000,1500,2,2000,1.166300366,0,0.0,0.0,1
66768,2023-01-02,5000,40,Femenino,1,7000,5000,2,3000,0.945585997,0,0.0,0.0,1
72457,2023-02-14,10000,45,Femenino,0,12000,8000,4,8000,1.00120355,0,0.0,0.981052864,2
72460,2023-02-14,5000,48,Femenino,1,7500,6000,2,3000,1.001208703,0,0.0,0.990359586,2
67227,2023-01-04,5000,50,Femenino,0,13000,1500,3,5000,1.052489733,0,0.0,0.0,1
67791,2023-01-10,6000,37,Femenino,0,15000,2000,3,4000,1.042788462,0,0.0,0.976826153,1
68046,2023-01-11,7000,46,Femenino,0,15000,3000,3,5000,1.380219028,0,0.0,0.978723964,1
69697,2023-01-24,9000,29,Femenino,0,15000,4000,3,7000,1.119610706,0,0.0,0.984104372,1
70085,2023-01-25,5000,19,Masculino,0,16000,7000,2,3000,1.063784247,0,0.0,0.980077841,1
70939,2023-02-01,10000,54,Femenino,2,16000,7000,3,7000,1.122822384,0,0.0,0.990945809,2
72190,2023-02-10,7000,52,Femenino,0,15000,3800,2,5000,1.001207875,0,0.0,0.992952494,2
72379,2023-02-14,9000,53,Masculino,0,21000,6000,3,7000,0.945579886,0,0.0,0.994910558,2
77017,2023-03-17,5000,52,Masculino,0,12000,6000,3,5000,1.001207875,0,0.0,0.9956967,3
78999,2023-04-03,10000,40,Femenino,0,15000,4000,3,7000,0.945579886,0,0.0,0.997235951,4
79006,2023-04-01,5000,64,Femenino,0,12000,2500,3,3000,1.215753425,1,0.0,0.99873908,4
79010,2023-04-01,5000,51,Femenino,0,14000,0,2,3000,1.063784247,1,0.0,0.999669886,4
66762,2023-01-02,5000,32,Femenino,0,7000,5500,2,3100,1.063741722,0,0.0,0.0,1
75374,2023-03-06,5000,32,Femenino,0,7000,5000,2,3000,1.379851598,0,0.0,0.963400623,3
66539,2022-12-30,7000,53,Femenino,0,10000,0,2,5000,1.199911998,0,0.0,0.0,12
69439,2023-01-23,8200,47,Femenino,0,9500,0,4,8200,0.945641459,0,0.0,0.991403207,1
71546,2023-02-08,7000,34,Femenino,0,19000,5000,2,5000,1.280366451,1,0.0,0.964130271,2
73648,2023-02-22,6400,26,Femenino,0,13000,0,2,4400,1.187812188,1,0.0,0.969198152,2
74015,2023-02-22,9000,43,Femenino,0,15000,6000,3,7000,1.199687174,0,0.0,0.974906822,2
66568,2023-01-03,4000,41,Femenino,0,9000,0,2,3000,1.204500978,0,0.0,0.0,1
81358,2023-04-19,6000,32,Femenino,1,9000,2500,2,4000,1.484848485,0,1.028747859,1.151366731,4
67271,2023-01-04,7000,59,Femenino,0,20000,3800,2,5000,1.387063655,0,0.0,0.0,1
67246,2023-01-07,5500,47,Femenino,0,19000,5000,2,5000,1.063783368,0,0.0,1.013666802,1
67538,2023-01-10,5000,45,Masculino,2,18000,8000,2,3000,1.001208703,0,0.0,1.015072704,1
67818,2023-01-11,5000,56,Femenino,1,14000,5000,2,3700,1.00130719,0,0.0,1.004103093,1
69500,2023-01-23,7000,31,Femenino,1,25000,6000,2,5000,1.001207875,0,0.0,1.027822434,1
