index,Fecha Inicial,Monto,Genero,Dependientes,CP,CP Aval,Ingresos,Egresos,Score CC,Unidad,Frecuencia_Ant,Incobrable,Deficit,IngresoPercapita,TipoZona,CP_Latitud,CP_Longitud,CP_Aval_Latitud,CP_Aval_Longitud,Odds,Mes inicial
72961,2023-02-21,5000,Femenino,0,90790,90790,12000,4000,454,Puebla Norte,1.198630137,1,8000,12000.0,Urbano,19.166083333333333,-98.20861666666669,19.166083333333333,-98.20861666666669,1.5,2
73397,2023-02-21,7000,Femenino,1,62756,62756,12500,3000,482,Cuautla,1.001202233,0,9500,6250.0,Rural,18.86944,-98.9702,18.86944,-98.9702,1.8,2
116181,2023-12-27,7500,Masculino,1,72229,72229,28000,13000,415,Puebla Oriente,1.134702231,1,15000,14000.0,Urbano,19.068116666666665,-98.13001666666666,19.068116666666665,-98.13001666666666,1.2,12
116455,2024-01-02,3000,Femenino,1,72229,72310,24000,11000,497,Puebla Oriente,0.680817518,1,13000,12000.0,Urbano,19.068116666666665,-98.13001666666666,19.069975,-98.166425,1.9,1
68492,2023-01-16,5500,Femenino,0,74400,72000,8500,0,565,Puebla Poniente,0.0,1,8500,8500.0,Semiurbano,18.602,-98.4666,19.0479,-98.1907,3.2,1
87052,2023-06-02,10000,Femenino,2,94140,94140,7000,2000,508,Cordoba,0.895829917,1,5000,2333.3333333333335,Urbano,19.048354545454547,-97.09525454545457,19.048354545454547,-97.09525454545457,2.0,6
89542,2023-06-19,9000,Masculino,1,94560,94534,25000,3408,457,Cordoba,1.063778772,1,21592,12500.0,Urbano,18.9155,-96.9504,18.9028,-96.9497,1.5,6
70318,2023-02-01,7000,Femenino,1,94480,94690,8000,5000,432,Cordoba,1.001207875,1,3000,4000.0,Unknown,18.953016666666667,-96.94738333333332,18.89635,-96.9092,1.2,2
81643,2023-04-24,4000,Femenino,3,94680,94680,6000,4000,433,Cordoba,0.851025641,1,2000,1500.0,Urbano,18.90075,-96.9293,18.90075,-96.9293,1.2,4
111601,2023-11-20,4000,Femenino,1,94557,94494,10000,4500,482,Cordoba,1.215750916,1,5500,5000.0,Urbano,18.91315,-96.95085,18.9966,-96.9215,1.8,11
117195,2024-01-02,13000,Femenino,0,94500,94466,14000,4000,413,Cordoba,0.96139515,1,10000,14000.0,Urbano,18.8986,-96.9623,18.951633333333334,-97.01476666666667,1.2,1
111280,2023-11-15,5000,Femenino,2,94740,94740,8500,2500,431,Orizaba,0.630399453,1,6000,2833.3333333333335,Rural,18.804,-97.1787,18.804,-97.1787,1.2,11
99849,2023-08-28,3000,Femenino,0,94464,94455,11500,2300,425,Orizaba,0.630386775,1,9200,11500.0,Rural,18.83342,-96.99822,18.8775,-97.0229,1.2,8
107791,2023-10-20,3000,Femenino,0,94734,94734,7200,4800,418,Orizaba,1.387063655,1,2400,7200.0,Semiurbano,18.8338,-97.15671666666668,18.8338,-97.15671666666668,1.2,10
120317,2024-01-22,3000,Femenino,0,94734,94720,10000,5000,561,Orizaba,0.630390665,1,5000,10000.0,Semiurbano,18.8338,-97.15671666666668,18.82150625,-97.170475,3.2,1
110397,2023-11-08,5000,Femenino,0,94460,94460,8000,2000,540,Orizaba,0.586914235,1,6000,8000.0,Semiurbano,18.85034,-97.05392,18.85034,-97.05392,2.75,11
111755,2023-11-17,5000,Femenino,0,62830,62830,11500,3500,580,Cuautla,1.400114155,1,8000,11500.0,Urbano,18.9849,-98.9207,18.9849,-98.9207,3.5,11
80721,2023-04-14,5000,Femenino,0,94410,94410,8000,4000,431,Orizaba,0.810501613,1,4000,8000.0,Urbano,18.806366666666666,-97.09823333333334,18.806366666666666,-97.09823333333334,1.2,4
73917,2023-02-25,7000,Femenino,1,75240,75240,12000,2300,673,Puebla Oriente,0.0,0,9700,6000.0,Rural,18.8942,-98.0325,18.8942,-98.0325,8.3,2
74671,2023-03-01,7000,Femenino,0,75240,75240,7500,2300,590,Puebla Oriente,0.0,0,5200,7500.0,Rural,18.8942,-98.0325,18.8942,-98.0325,4.0,3
