id_solicitud,Fecha Inicial,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Incobrable,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial
72961,2023-02-21,5000,29,Femenino,0,12000,4000,454,2,3000,1.198630137,1,0.0,8000,12000.0,1.5,2
73397,2023-02-21,7000,19,Femenino,1,12500,3000,482,4,7000,1.001202233,0,0.0,9500,6250.0,1.8,2
116181,2023-12-27,7500,26,Masculino,1,28000,13000,415,3,5000,1.134702231,1,0.0,15000,14000.0,1.2,12
116455,2024-01-02,3000,25,Femenino,1,24000,11000,497,4,7000,0.680817518,1,0.0,13000,12000.0,1.9,1
87052,2023-06-02,10000,31,Femenino,2,7000,2000,508,4,10000,0.895829917,1,0.895484553,5000,2333.3333333333335,2.0,6
89542,2023-06-19,9000,41,Masculino,1,25000,3408,457,2,8000,1.063778772,1,0.0,21592,12500.0,1.5,6
70318,2023-02-01,7000,29,Femenino,1,8000,5000,432,3,5000,1.001207875,1,0.0,3000,4000.0,1.2,2
81643,2023-04-24,4000,40,Femenino,3,6000,4000,433,3,4000,0.851025641,1,0.0,2000,1500.0,1.2,4
111601,2023-11-20,4000,31,Femenino,1,10000,4500,482,2,4000,1.215750916,1,1.027191663,5500,5000.0,1.8,11
117195,2024-01-02,13000,45,Femenino,0,14000,4000,413,2,10000,0.96139515,1,0.712892914,10000,14000.0,1.2,1
111280,2023-11-15,5000,31,Femenino,2,8500,2500,431,5,9000,0.630399453,1,0.634156912,6000,2833.3333333333335,1.2,11
99849,2023-08-28,3000,56,Femenino,0,11500,2300,425,3,6000,0.630386775,1,0.794438084,9200,11500.0,1.2,8
107791,2023-10-20,3000,54,Femenino,0,7200,4800,418,3,5000,1.387063655,1,0.0,2400,7200.0,1.2,10
120317,2024-01-22,3000,34,Femenino,0,10000,5000,561,2,3000,0.630390665,1,0.684527645,5000,10000.0,3.2,1
110397,2023-11-08,5000,67,Femenino,0,8000,2000,540,2,4000,0.586914235,1,0.0,6000,8000.0,2.75,11
111755,2023-11-17,5000,27,Femenino,0,11500,3500,580,2,3000,1.400114155,1,1.040423374,8000,11500.0,3.5,11
80721,2023-04-14,5000,44,Femenino,0,8000,4000,431,3,5000,0.810501613,1,0.0,4000,8000.0,1.2,4
106269,2023-10-10,3000,63,Femenino,0,9000,2000,521,2,3000,1.078941035,0,0.0,7000,9000.0,2.2,10
112651,2023-11-27,7000,61,Femenino,0,7800,1000,487,14,5000,1.001207875,0,0.942889006,6800,7800.0,1.8,11
131155,2024-04-03,3000,37,Femenino,3,8700,2400,572,4,3000,1.047303082,1,0.973969898,6300,2175.0,3.5,4
132183,2024-04-10,5500,37,Femenino,3,10500,3800,576,2,3000,1.134703196,0,1.019835279,6700,2625.0,3.5,4
133660,2024-04-22,8000,58,Femenino,0,9800,2300,656,4,5500,1.134696406,0,1.01745753,7500,9800.0,6.1,4
133933,2024-04-22,10000,39,Femenino,1,9200,2100,617,6,9000,1.134719015,0,0.995525233,7100,4600.0,5.3,4
133938,2024-04-22,5000,46,Femenino,0,8500,2300,0,7,5000,0.945585216,1,0.906754354,6200,8500.0,0.0,4
137716,2024-05-14,5500,56,Femenino,0,7500,2300,470,4,7500,1.06377899,0,1.017165989,5200,7500.0,1.6,5
138610,2024-05-17,7000,40,Femenino,2,6800,2500,481,2,5000,1.189058375,1,0.943466196,4300,2266.6666666666665,1.8,5
135791,2024-05-01,4000,42,Femenino,0,18000,6700,607,3,5000,0.810501613,0,0.856175294,11300,18000.0,4.6,5
111681,2023-11-20,7000,33,Femenino,2,15400,7000,664,4,5000,1.291423156,0,1.022085694,8400,5133.333333333333,6.1,11
118663,2024-01-09,3000,47,Femenino,3,18000,8000,502,5,4000,0.630389364,0,0.0,10000,4500.0,2.0,1
134373,2024-04-23,5000,39,Masculino,2,12000,0,615,6,8000,1.296773559,0,0.0,12000,4000.0,5.3,4
134540,2024-04-24,5000,36,Masculino,2,12000,3600,487,4,7500,1.196452933,0,1.024243871,8400,4000.0,1.8,4
140684,2024-05-29,3000,37,Femenino,2,6000,2800,585,2,2000,1.379059829,0,1.038330037,3200,2000.0,4.0,5
141668,2024-06-04,8000,31,Femenino,2,7600,2800,668,4,7000,1.134594857,0,1.014949869,4800,2533.3333333333335,8.3,6
166866,2024-10-09,3000,36,Masculino,1,10000,2800,541,8,3000,1.063784247,1,1.020278034,7200,5000.0,2.75,10
139783,2024-05-27,12000,24,Femenino,0,9500,4000,413,5,9500,1.063799234,0,1.000404899,5500,9500.0,1.2,5
141196,2024-06-01,9000,45,Femenino,1,10700,4500,480,4,7000,1.194115201,0,0.996848247,6200,5350.0,1.8,6
90774,2023-06-27,3000,39,Femenino,0,8000,100,573,4,2500,0.85102459,1,0.845898597,7900,8000.0,3.5,6
110197,2023-11-07,3000,21,Masculino,1,8100,1950,418,5,4000,0.630389364,1,0.5370487,6150,4050.0,1.2,11
117932,2024-01-08,3000,21,Femenino,1,16000,6000,568,2,3000,1.198630137,0,0.995667278,10000,8000.0,3.2,1
121648,2024-01-30,3000,30,Femenino,2,5200,1900,427,2,3000,0.77366127,0,0.0,3300,1733.3333333333333,1.2,1
121898,2024-01-31,3000,62,Masculino,0,14000,7500,738,8,13000,0.895813491,0,0.0,6500,14000.0,8.3,1
127825,2024-03-13,3000,54,Femenino,0,5800,500,523,2,3000,1.063784247,0,0.0,5300,5800.0,2.2,3
129551,2024-03-23,3000,25,Femenino,2,8500,2000,492,6,3000,1.063784247,0,1.0,6500,2833.3333333333335,1.9,3
134452,2024-04-27,4000,22,Femenino,1,7000,2900,577,2,3000,1.001208703,1,0.84556866,4100,3500.0,3.5,4
136850,2024-05-07,4000,62,Femenino,0,6000,6900,477,6,4000,0.945584046,0,0.901367342,-900,6000.0,1.6,5
136999,2024-05-08,5000,55,Femenino,0,12000,8000,489,6,5000,1.063783368,0,1.01975759,4000,12000.0,1.8,5
140878,2024-05-29,7500,35,Femenino,1,12000,6900,595,3,5000,1.501478197,0,1.031207713,5100,6000.0,4.0,5
141659,2024-06-04,3000,22,Femenino,0,4800,1000,653,6,3000,1.19078341,0,1.00643734,3800,4800.0,6.1,6
141661,2024-06-04,3000,33,Masculino,2,12000,4800,464,2,3000,0.810502283,0,0.833058929,7200,4000.0,1.5,6
141667,2024-06-04,6500,33,Masculino,3,14000,5000,426,2,4000,1.278453689,0,1.013243398,9000,3500.0,1.2,6
141846,2024-06-05,3000,37,Femenino,2,0,6800,545,2,3000,1.369354839,0,0.925478671,-6800,0.0,2.75,6
141842,2024-06-07,5000,21,Femenino,1,2000,7000,505,4,3000,1.274441687,0,1.013295942,-5000,1000.0,2.0,6
136047,2024-05-01,3000,50,Femenino,1,13500,7000,452,2,3500,0.895817256,1,0.932958067,6500,6750.0,1.5,5
139861,2024-05-27,3000,59,Femenino,0,13000,4000,518,2,3000,1.259057072,0,0.936491191,9000,13000.0,2.1,5
135247,2024-04-27,5000,35,Femenino,3,7500,4000,500,3,5000,1.271521087,0,1.014816211,3500,1875.0,2.0,4
135346,2024-04-27,5500,40,Masculino,4,9500,4000,627,2,3000,1.134703196,1,1.004542597,5500,1900.0,5.3,4
135867,2024-05-01,8500,34,Femenino,2,11500,6000,501,4,6000,1.278469401,0,1.013244228,5500,3833.3333333333335,2.0,5
138359,2024-05-15,10000,35,Femenino,3,6800,2000,546,4,7500,1.642255435,0,1.020464302,4800,1700.0,2.75,5
141986,2024-06-05,5500,33,Femenino,2,14000,4800,469,2,3000,1.063784247,0,0.996083796,9200,4666.666666666667,1.6,6
142335,2024-06-10,8000,34,Femenino,1,8000,3500,481,3,5500,1.278347578,0,1.013247783,4500,4000.0,1.8,6
120601,2024-01-23,5500,33,Femenino,2,25000,7000,440,2,3000,1.063784247,1,1.0,18000,8333.333333333334,1.3,1
139303,2024-05-22,5500,57,Masculino,1,20000,12500,584,2,3000,1.380645161,0,1.021354765,7500,10000.0,3.5,5
140275,2024-05-27,7500,49,Femenino,1,24000,4123,462,3,7500,0.945581325,1,0.853607582,19877,12000.0,1.5,5
114793,2023-12-11,5500,28,Masculino,0,10000,8000,482,2,3000,1.384988584,0,1.021264112,2000,10000.0,1.8,12
134280,2024-04-22,5500,22,Femenino,1,18000,3000,526,2,3000,1.846594982,1,1.066731392,15000,9000.0,2.2,4
142139,2024-06-07,5500,27,Femenino,2,12000,5000,591,2,3000,1.211981567,0,1.008908046,7000,4000.0,4.0,6
110522,2023-11-08,3000,22,Femenino,3,5200,2000,469,4,11000,1.063798395,0,0.0,3200,1300.0,1.6,11
133486,2024-04-17,5000,18,Femenino,0,44000,2000,611,2,3000,1.288988409,0,1.033092816,42000,44000.0,4.6,4
138121,2024-05-15,5000,21,Femenino,1,6200,2000,567,2,3000,1.380645161,0,1.014547315,4200,3100.0,3.2,5
140333,2024-05-28,5000,40,Masculino,1,6200,2000,627,2,3000,1.388172043,0,1.017343895,4200,3100.0,5.3,5
142500,2024-06-08,5000,44,Masculino,2,7200,2000,683,2,3000,1.063784247,0,1.021407428,5200,2400.0,8.3,6
141539,2024-06-05,7500,50,Femenino,0,13600,4000,499,3,5500,1.063777881,0,1.0,9600,13600.0,1.9,6
107612,2023-10-25,4000,32,Femenino,3,8000,5,650,8,5000,1.134702259,0,1.023331583,7995,2000.0,6.1,10
112261,2023-11-22,5000,23,Femenino,2,6000,6,617,2,5000,1.063783368,0,1.016037989,5994,2000.0,5.3,11
129973,2024-03-26,10000,57,Femenino,1,12000,4,0,5,10000,1.134717895,0,1.03186693,11996,6000.0,0.0,3
136336,2024-05-04,5000,37,Femenino,3,6,5,646,5,5500,1.063777881,0,1.016470876,1,1.5,6.1,5
137401,2024-05-11,3000,34,Femenino,4,6000,3000,413,4,3000,1.063784247,0,1.020278034,3000,1200.0,1.2,5
138406,2024-05-15,6000,32,Femenino,3,8000,5,665,9,4000,1.063782051,0,1.018978255,7995,2000.0,8.3,5
138705,2024-05-20,3000,27,Femenino,2,0,5,497,2,3000,1.063784247,1,1.012418961,-5,0.0,1.9,5
158853,2024-08-28,5000,46,Femenino,1,8800,5500,547,3,5000,0.680821355,0,0.695654305,3300,4400.0,2.75,8
171818,2024-11-04,5000,43,Femenino,3,4008,5,414,4,6000,0.65463242,0,0.0,4003,1002.0,1.2,11
115203,2023-12-13,3000,35,Femenino,1,12000,4000,506,3,3500,0.851026393,0,0.921362387,8000,6000.0,2.0,12
130362,2024-03-27,7000,20,Femenino,0,7000,1500,605,5,5000,1.134702259,0,1.023331583,5500,7000.0,4.6,3
131694,2024-04-08,5000,36,Femenino,1,12000,4000,532,4,3000,1.063784247,0,1.01696945,8000,6000.0,2.6,4
133299,2024-04-17,6500,28,Femenino,2,14000,1500,589,2,4000,1.379059829,0,1.038330037,12500,4666.666666666667,4.0,4
133591,2024-04-17,5500,33,Femenino,4,12000,2000,641,2,3000,1.134703196,0,1.023843402,10000,2400.0,6.1,4
134528,2024-04-24,6500,26,Femenino,3,17000,4000,399,2,4000,1.215750916,0,1.027191663,13000,4250.0,0.9,4
139385,2024-05-22,8000,31,Masculino,3,12000,4000,533,3,5500,1.063777881,0,1.000826173,8000,3000.0,2.6,5
140564,2024-05-29,6500,23,Femenino,1,16000,4000,454,3,4000,1.418367347,0,1.037549199,12000,8000.0,1.5,5
140865,2024-05-29,7000,48,Femenino,2,12000,2000,489,4,7500,1.001203756,0,0.98115817,10000,4000.0,1.8,5
114733,2023-12-11,3000,51,Femenino,1,13400,6000,599,3,3500,0.773660357,0,0.0,7400,6700.0,4.6,12
130915,2024-04-03,5000,20,Femenino,0,10000,4000,632,3,5000,1.063783368,0,1.004500858,6000,10000.0,5.3,4
133668,2024-04-22,13000,31,Masculino,3,15000,8000,511,8,10500,1.06379822,0,1.0,7000,3750.0,2.1,4
135926,2024-05-01,6000,34,Femenino,2,14000,4000,519,2,3500,1.309271374,0,1.029646177,10000,4666.666666666667,2.2,5
135991,2024-05-01,7000,19,Femenino,0,12000,6000,600,3,5000,1.063783368,0,1.0,6000,12000.0,4.6,5
137154,2024-05-08,7000,40,Femenino,2,10000,3200,684,3,4500,1.215753425,0,1.011459066,6800,3333.3333333333335,8.3,5
139494,2024-05-22,9000,25,Femenino,1,12000,4000,554,5,6600,1.134780362,1,1.003900958,8000,6000.0,2.9,5
139863,2024-05-27,5500,29,Femenino,2,0,4600,670,2,3000,1.134703196,0,1.00390124,-4600,0.0,8.3,5
139664,2024-05-22,4000,43,Femenino,2,10000,5000,544,5,7000,1.063777372,1,1.007645501,5000,3333.3333333333335,2.75,5
73870,2023-02-22,4000,36,Masculino,2,16000,6000,716,5,3000,1.063784247,0,0.0,10000,5333.333333333333,8.3,2
74889,2023-03-01,5000,34,Femenino,1,17000,2800,496,10,6500,1.063777516,0,0.0,14200,8500.0,1.9,3
130540,2024-03-29,6000,32,Femenino,2,16000,4000,540,3,5000,1.196831916,0,1.026768075,12000,5333.333333333333,2.75,3
137079,2024-05-08,9000,19,Masculino,0,12200,2400,656,4,7500,1.215747418,0,1.025442781,9800,12200.0,6.1,5
99471,2023-08-23,5000,21,Femenino,2,4500,500,522,5,6000,0.630386775,0,0.0,4000,1500.0,2.2,8
114519,2023-12-08,8000,40,Femenino,1,7000,2000,678,6,7000,1.063777372,0,1.016207878,5000,3500.0,8.3,12
129605,2024-03-25,4000,28,Masculino,1,3000,1000,619,3,3000,1.379280822,0,1.039542997,2000,1500.0,5.3,3
129721,2024-03-25,5000,35,Masculino,2,3000,2000,474,3,5500,0.945580339,1,0.960004394,1000,1000.0,1.6,3
132985,2024-04-15,6000,59,Femenino,0,4000,2000,461,3,6000,1.063777683,0,0.881076445,2000,4000.0,1.5,4
134110,2024-04-22,6000,31,Femenino,2,3500,3500,529,3,4500,1.063784247,0,1.111468632,0,1166.6666666666667,2.6,4
134061,2024-04-23,5500,57,Femenino,0,8800,6000,517,2,3000,1.215753425,1,1.051704913,2800,8800.0,2.1,4
136883,2024-05-07,6500,64,Femenino,0,10500,3000,530,2,4800,1.001131222,1,0.991113668,7500,10500.0,2.6,5
137434,2024-05-11,7000,25,Femenino,2,12000,4300,429,3,5000,1.001207875,1,0.91147753,7700,4000.0,1.2,5
97115,2023-08-14,4000,23,Masculino,2,10000,2500,398,7,5500,0.895812952,1,0.915132267,7500,3333.3333333333335,0.9,8
112389,2023-11-22,5500,23,Femenino,2,14300,3200,485,3,3000,1.134703196,1,1.00390124,11100,4766.666666666667,1.8,11
129891,2024-03-26,11000,57,Femenino,0,8000,3500,518,4,8500,1.134718826,1,1.004538884,4500,8000.0,2.1,3
130678,2024-04-02,5500,47,Femenino,3,14000,3200,0,2,3000,1.063784247,1,1.0,10800,3500.0,0.0,4
131627,2024-04-08,4000,48,Femenino,0,13800,2000,0,2,5000,1.001207875,1,0.996925894,11800,13800.0,0.0,4
134199,2024-04-23,6000,59,Femenino,0,14800,4000,0,2,4000,1.063782051,1,0.995804467,10800,14800.0,0.0,4
134206,2024-04-22,7000,27,Femenino,2,16000,4000,439,2,5000,1.063783368,1,1.0,12000,5333.333333333333,1.3,4
134380,2024-04-22,7000,24,Femenino,2,12000,4000,566,3,5000,1.116906229,1,0.98994878,8000,4000.0,3.2,4
138921,2024-05-18,7000,44,Femenino,2,16000,5000,599,4,7000,1.046806569,1,0.951681585,11000,5333.333333333333,4.6,5
141300,2024-06-04,7000,47,Femenino,0,0,4000,422,2,5000,1.41802168,1,1.023639072,-4000,0.0,1.2,6
141677,2024-06-05,8000,23,Femenino,0,4600,2000,687,7,12000,1.063798701,1,0.991583865,2600,4600.0,8.3,6
114786,2023-12-12,5500,27,Femenino,0,9000,7500,518,2,3000,1.384988584,1,1.021264112,1500,9000.0,2.1,12
114800,2023-12-11,5500,28,Femenino,0,8000,4000,508,2,3000,1.203767123,1,1.015124571,4000,8000.0,2.0,12
114807,2023-12-12,5500,24,Femenino,0,10500,5000,427,2,3000,1.384988584,1,1.021264112,5500,10500.0,1.2,12
134890,2024-04-24,5000,27,Femenino,1,17000,8000,390,2,5000,0.983572895,1,0.841051252,9000,8500.0,0.9,4
133713,2024-04-27,4000,56,Femenino,0,12800,4000,443,2,4000,1.063782051,1,0.961820888,8800,12800.0,1.3,4
136178,2024-05-06,7500,29,Femenino,1,17500,8000,526,3,5500,1.001202712,1,0.991197799,9500,8750.0,2.2,5
136845,2024-05-07,3000,21,Masculino,0,17000,7000,509,2,3000,0.77366127,1,0.919303616,10000,17000.0,2.0,5
137311,2024-05-08,5500,18,Femenino,1,15500,7000,514,2,3000,1.134703196,1,1.001231304,8500,7750.0,2.1,5
138405,2024-05-17,6500,23,Femenino,1,0,8000,467,2,4000,1.063782051,1,1.003822637,-8000,0.0,1.6,5
139021,2024-05-20,10000,52,Masculino,2,10500,5200,456,3,7500,1.194309102,1,1.007544656,5300,3500.0,1.5,5
140267,2024-05-27,10000,38,Femenino,2,14000,7000,429,4,7500,1.377943841,1,0.937042689,7000,4666.666666666667,1.2,5
141168,2024-06-04,9500,53,Femenino,0,0,4200,441,3,7000,1.286082186,1,1.027369379,-4200,0.0,1.3,6
141548,2024-06-04,7500,36,Femenino,3,19300,7200,419,3,5500,1.515319865,1,1.016360956,12100,4825.0,1.2,6
129406,2024-03-22,13000,45,Masculino,1,18500,3500,602,11,11000,1.376770538,0,0.985189398,15000,9250.0,4.6,3
172164,2024-11-05,3000,32,Femenino,2,9000,5000,549,3,3000,1.001208703,0,0.0,4000,3000.0,2.9,11
133889,2024-04-23,8500,42,Masculino,2,9700,3400,559,12,6000,1.194329521,1,1.001999921,6300,3233.3333333333335,2.9,4
134391,2024-04-23,9500,39,Masculino,2,7800,3000,694,11,7000,1.063777372,0,1.016207878,4800,2600.0,8.3,4
136107,2024-05-01,6500,59,Femenino,0,6200,3745,443,2,4700,1.215689333,0,1.007220814,2455,6200.0,1.3,5
