index,Monto,Edad Solicitud,Genero,Dependientes,CP,Ingresos,Egresos,Unidad,Score Agt,TipoZona,CP_Latitud,CP_Longitud,Mes inicial,Prediction,Incobrable
185665,17500,52,Femenino,1,9497,0,2560,Cordoba,1.001665133,Urbano,18.95892857142857,-96.66142857142856,1,1,0
170565,3500,39,Femenino,2,7413,0,6731,Puebla Norte,0.955832292,Rural,19.27,-98.5165,10,0,0
75677,3500,26,Femenino,1,9054,6622,4414,Puebla Norte,0.898896987,Urbano,19.456966666666663,-97.93876666666668,3,0,0
179199,9000,39,Masculino,2,6273,22599,15408,Cuautla,0.695471955,Urbano,18.8752625,-99.060575,12,1,1
79870,3500,37,Femenino,1,9441,6071,4415,Orizaba,0.996996754,Urbano,18.806366666666666,-97.09823333333334,4,0,0
203401,5500,58,Femenino,1,9045,7104,3552,Puebla Norte,1.007825741,Urbano,19.40008333333333,-98.17808333333332,4,0,0
171162,3500,39,Femenino,2,7442,0,3402,Puebla Poniente,0.670046328,Semiurbano,18.59325,-98.45186666666666,11,1,1
87425,17000,31,Femenino,0,9455,9947,3868,Cordoba,1.017016596,Unknown,18.905050000000003,-96.9274,6,0,0
81262,3500,22,Femenino,0,7413,6623,2759,Puebla Norte,0.705624099,Rural,19.27,-98.5165,4,1,1
111920,9000,32,Femenino,2,9410,19621,8624,Cordoba,1.041482442,Urbano,19.2673,-96.96505,11,0,0
183393,4000,49,Femenino,1,7042,0,12804,Oaxaca,0.992288709,Urbano,17.021250000000002,-96.59765,1,0,0
79088,3500,33,Femenino,3,7123,19871,0,Oaxaca,1.018462564,Fake,17.0264,-96.7164,4,0,0
91298,6000,29,Femenino,0,9446,9947,0,Cordoba,1.010120633,Urbano,18.951633333333334,-97.01476666666667,6,0,1
79848,3500,24,Femenino,0,7501,6402,4967,Puebla Oriente,1.010009967,Rural,19.2331,-97.7283,4,0,0
217287,6500,25,Femenino,1,5688,0,5046,Cuautla,0.77249837,Urbano,19.0260375,-98.823975,6,1,1
103866,3500,20,Femenino,0,7558,16335,6534,Puebla Oriente,1.02008643,Rural,18.80925,-97.4018,9,0,0
153130,18000,42,Femenino,2,9497,31256,20837,Cordoba,1.003627464,Urbano,18.95892857142857,-96.66142857142856,8,0,0
110506,3500,27,Femenino,0,7378,5929,0,Puebla Oriente,1.046337616,Rural,19.4675,-97.687,11,0,0
201760,5500,40,Masculino,0,6273,0,6089,Cuautla,0.835706755,Rural,18.8391375,-99.0862,4,1,1
160170,3500,40,Femenino,1,7256,0,6248,Puebla Poniente,0.976936334,Urbano,19.01588,-98.1878,9,0,0
149934,5500,30,Femenino,1,7215,0,4688,Puebla Poniente,0.723645411,Urbano,19.06733333333333,-98.2516,7,1,1
188389,4000,59,Femenino,0,9430,6639,2553,Orizaba,1.013652069,Urbano,18.8508,-97.098,2,0,0
70001,6000,28,Femenino,0,7418,7011,0,Puebla Poniente,0.910626615,Rural,19.10243333333333,-98.48653333333334,1,0,0
163008,5500,34,Masculino,3,9473,0,4165,Orizaba,0.730877298,Semiurbano,18.83532222222222,-97.13045555555556,9,1,1
174878,3500,35,Femenino,0,7268,0,7218,Puebla Norte,0.977353313,Rural,19.1341,-98.2834,11,0,0
78272,6000,21,Femenino,0,5697,7615,882,Cuautla,0.608082418,Urbano,19.0312,-98.7169,3,1,1
71346,6000,63,Femenino,0,7420,11066,0,Puebla Poniente,1.02958248,Urbano,18.9003,-98.4344,2,0,0
108126,3500,56,Femenino,0,9410,8679,2712,Cordoba,1.084260277,Urbano,19.3977,-96.9904,10,0,0
144305,3500,36,Femenino,1,7440,0,4527,Puebla Poniente,0.917460528,Semiurbano,18.602,-98.4666,6,0,0
95297,3500,30,Femenino,1,7511,2199,2199,Puebla Oriente,0.949916539,Rural,19.08565,-97.9327,7,0,0
187065,6500,42,Masculino,2,6825,0,14340,Oaxaca,0.982778122,Urbano,17.145474999999998,-96.7643,1,0,0
156523,6500,29,Femenino,1,9410,0,4167,Cordoba,1.003901869,Urbano,19.3977,-96.9904,8,0,0
213163,7500,41,Masculino,1,7437,0,2523,Puebla Poniente,0.901534034,Rural,18.748,-98.4913,6,1,0
100449,3500,38,Femenino,1,7268,10890,6534,Puebla Norte,1.020127882,Rural,19.1341,-98.2834,9,0,0
190104,4000,41,Masculino,2,9431,15322,9193,Orizaba,1.016298301,Urbano,18.86438,-97.11274,2,0,0
202781,4500,43,Femenino,1,7412,8119,4059,Puebla Norte,0.990225084,Rural,19.27138,-98.41354,4,0,0
129042,4500,52,Femenino,0,7410,0,4756,Puebla Norte,0.92891777,Rural,19.305966666666663,-98.55533333333334,3,0,0
81300,6000,28,Femenino,3,9079,0,4195,Puebla Norte,0.891067388,Urbano,19.166083333333333,-98.20861666666669,4,1,0
110068,4000,38,Femenino,1,9441,5390,3773,Orizaba,0.753506041,Urbano,18.806366666666666,-97.09823333333334,11,1,1
86887,6000,53,Femenino,0,7256,11063,3319,Puebla Poniente,0.979107842,Urbano,19.01588,-98.1878,5,0,0
73691,6000,26,Femenino,0,9452,11066,1660,Cordoba,0.950510587,Urbano,18.8986,-96.9623,2,0,0
189566,6000,56,Femenino,0,9416,0,2042,Cordoba,0.982079381,Rural,19.00486666666667,-97.0326,2,0,0
173137,4000,34,Femenino,1,7511,0,2577,Puebla Oriente,0.943968466,Rural,19.0492,-97.9413,11,0,0
107029,3500,55,Femenino,0,9446,13019,4339,Cordoba,1.013199927,Urbano,18.951633333333334,-97.01476666666667,10,0,0
191998,4500,40,Femenino,3,7205,0,10214,Puebla Norte,0.68795908,Urbano,19.06085,-98.20216666666666,2,1,1
93714,3500,38,Femenino,0,9473,9349,4399,Orizaba,1.01932364,Semiurbano,18.8338,-97.15671666666668,7,0,0
192707,8000,32,Masculino,0,6253,0,6128,Cuautla,0.953146627,Rural,19.017133333333334,-98.9644,2,0,1
166725,5500,37,Femenino,0,7249,0,4660,Puebla Poniente,0.684736933,Urbano,18.9559,-98.2275,10,1,1
151662,3500,26,Femenino,0,7412,10419,6251,Puebla Norte,0.720800327,Urbano,19.253833333333333,-98.42978333333332,7,1,1
169587,4500,39,Femenino,2,9486,0,6421,Orizaba,1.003744464,Rural,18.8056,-97.0987,10,0,0
220885,4500,30,Femenino,1,7515,0,6039,Puebla Oriente,0.966134635,Rural,18.987935,-97.782715,7,0,0
123278,3500,26,Femenino,0,9441,7420,5300,Orizaba,0.992062038,Urbano,18.806366666666666,-97.09823333333334,2,0,1
148059,5500,32,Masculino,1,5688,0,4167,Cuautla,0.950124038,Urbano,19.0260375,-98.823975,7,0,1
128717,3500,46,Femenino,0,5686,8984,5285,Cuautla,0.958707369,Rural,19.101233333333333,-98.8797,3,0,0
189289,3500,26,Femenino,0,9434,0,4085,Orizaba,0.955440201,Urbano,18.85474,-97.08142,2,0,0
126547,3500,54,Femenino,0,7271,0,3171,Puebla Norte,1.003473802,Urbano,19.13397142857143,-98.24565714285714,3,0,0
148405,3500,44,Femenino,1,6273,7814,6772,Cuautla,0.670541781,Urbano,18.9026,-98.9717,7,1,1
105129,5500,53,Femenino,1,7439,13019,6509,Puebla Poniente,0.6640058,Rural,18.7253,-98.4516,10,1,1
86872,3500,19,Femenino,1,6284,9957,2212,Cuautla,0.965901324,Urbano,18.925633333333334,-98.8896,5,0,0
209873,6500,31,Masculino,2,5686,0,8096,Cuautla,0.936259063,Rural,19.101233333333333,-98.8797,5,0,1
217079,3500,30,Femenino,2,9446,0,2018,Orizaba,1.00598496,Urbano,18.8746,-97.03741111111113,6,0,0
125902,3500,63,Femenino,0,9439,12684,3699,Orizaba,1.000760131,Urbano,18.8401,-97.09076666666668,3,0,0
102361,9000,23,Masculino,0,9410,17424,4356,Cordoba,0.795562954,Urbano,19.2673,-96.96505,9,1,1
94776,4500,19,Femenino,0,6826,3299,1649,Oaxaca,0.790922043,Rural,17.13185,-96.80366666666669,7,1,1
90773,4500,32,Femenino,1,9447,9947,6631,Cordoba,0.953597579,Urbano,18.91435,-96.98084,6,0,0
