id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score Agt,Mes inicial,Prediction,Incobrable
106241,3500,30,Femenino,2,6509,7594,0.997833813,10,0,0
165597,5500,27,Masculino,1,0,3210,0.804569146,10,1,1
183888,5500,59,Masculino,0,0,3585,1.023101737,1,0,0
79741,3500,22,Femenino,0,11039,0,0.799874961,4,1,1
116601,5500,33,Femenino,3,14130,6423,0.740624121,12,1,1
152639,3500,45,Femenino,2,0,5209,0.836152838,7,1,1
185515,4000,47,Femenino,1,0,1536,1.008579584,1,0,0
154532,3500,32,Femenino,1,0,10418,0.989557499,8,0,0
99291,5500,37,Masculino,0,8751,4375,0.689708959,8,1,1
143089,3500,18,Masculino,0,8422,4211,0.934911298,6,0,0
105324,3500,28,Femenino,0,8679,4339,0.939623394,10,0,0
164810,5500,35,Femenino,2,12427,8285,0.921995207,10,0,1
202988,5500,43,Femenino,1,0,5074,0.97734322,4,1,0
173337,7500,55,Femenino,0,0,2062,0.700056104,11,1,1
90393,3500,31,Femenino,0,9947,4973,1.020803089,6,0,0
226814,4000,18,Femenino,1,0,5029,0.776562502,8,1,0
187808,5500,41,Femenino,1,0,5121,0.809736341,1,1,1
78038,3500,40,Masculino,1,15452,4304,1.01406573,3,0,0
160438,5500,32,Femenino,2,0,6248,0.925540557,9,0,1
211273,6000,53,Masculino,0,0,10627,1.002907236,5,0,0
69219,6000,50,Femenino,1,20588,6677,0.953497701,1,0,0
112539,3500,34,Femenino,0,10780,5390,0.735387648,11,1,1
219046,16500,21,Masculino,0,0,16105,0.91267144,7,1,0
109775,3500,26,Femenino,0,12936,5929,0.971580541,11,0,0
156802,5500,42,Femenino,1,0,4167,0.639758317,8,1,1
154029,4500,21,Femenino,0,0,4271,0.9971443,8,0,1
172412,3500,48,Masculino,1,0,18561,0.922236937,11,0,1
71178,3500,26,Femenino,0,10181,6640,0.982499579,2,0,1
140597,3500,22,Femenino,1,9511,5284,1.005572348,5,0,0
159447,11500,41,Femenino,2,15620,9372,1.00390178,9,0,0
66640,3500,18,Femenino,0,8902,0,0.0,1,1,1
81263,3500,20,Femenino,0,6623,3863,0.0,4,0,1
116458,5500,35,Femenino,0,12846,3211,0.750196806,12,1,1
83683,3500,68,Femenino,1,2212,1659,0.937080481,5,0,0
196398,4500,49,Masculino,1,0,3054,1.001442255,3,0,0
120697,3500,37,Femenino,0,15915,9549,0.724312757,1,1,1
126725,4000,29,Masculino,1,5285,2114,1.016988747,3,0,0
204696,4500,37,Femenino,1,0,6901,0.919698985,4,0,0
81191,6000,30,Femenino,0,8831,7175,1.005531038,4,0,0
104733,8000,47,Femenino,0,21781,2722,1.086578444,9,0,0
76492,3500,41,Femenino,2,5518,11037,1.045530769,3,0,0
120133,3500,44,Femenino,1,13793,5305,1.022413916,1,0,0
