index,Monto,Edad Solicitud,Genero,Dependientes,CP,CP Aval,Ingresos,Egresos,Score CC,Unidad,Deficit,IngresoPercapita,TipoZona,CP_Latitud,CP_Longitud,CP_Aval_Latitud,CP_Aval_Longitud,Odds,Mes inicial,Prediction,Incobrable
107338,3500,27,Femenino,0,7239,7200,6509,2712,635,Puebla Poniente,3500,6509,Urbano,19.025,-98.1326,19.0479,-98.1907,6.1,10,0,0
77617,3500,20,Femenino,0,7284,7280,11037,0,0,Puebla Poniente,10000,11037,Rural,19.0306,-98.3139,19.04743,-98.27943,0.0,3,1,1
126118,3500,43,Femenino,3,7435,7421,10570,5285,538,Puebla Poniente,5000,2642,Rural,18.9871,-98.38815,18.924925,-98.424725,2.6,3,0,1
161596,3500,27,Femenino,3,7458,7458,0,728,557,Puebla Poniente,-700,0,Rural,18.50743636363637,-98.60797272727272,18.50743636363637,-98.60797272727272,2.9,9,1,1
73058,4000,21,Masculino,1,9451,9451,0,2877,406,Cordoba,-2600,0,Urbano,18.91344,-96.93538,18.91344,-96.93538,0.9,2,1,1
107958,3500,23,Femenino,2,9054,9054,6509,4882,0,Puebla Norte,1500,2169,Urbano,19.456966666666663,-97.93876666666668,19.456966666666663,-97.93876666666668,0.0,10,1,1
122587,4500,23,Masculino,1,9416,9416,9540,2756,441,Cordoba,6400,4770,Rural,19.00486666666667,-97.0326,19.00486666666667,-97.0326,1.3,2,0,0
91848,5500,19,Femenino,1,9442,9442,6599,2749,600,Orizaba,3500,3299,Urbano,18.896316666666667,-97.121975,18.896316666666667,-97.121975,4.6,7,1,1
200983,7500,51,Femenino,0,6802,6802,0,12179,416,Oaxaca,-12000,0,Urbano,17.1021,-96.7241,17.1021,-96.7241,1.2,4,1,0
168408,3500,34,Femenino,1,9029,9029,0,9320,538,Puebla Norte,-9000,0,Urbano,19.4625,-98.4246,19.4625,-98.4246,2.6,10,1,1
135178,5500,50,Femenino,0,6273,6273,7384,6329,504,Cuautla,1000,7384,Urbano,18.9026,-98.9717,18.9026,-98.9717,2.0,4,0,0
171297,4000,36,Masculino,1,7416,7416,0,4124,342,Puebla Poniente,-4000,0,Rural,19.2129,-98.3821,19.2129,-98.3821,0.9,11,1,1
130600,7500,52,Femenino,0,9496,9496,8966,4219,597,Cordoba,4500,8966,Rural,18.9278,-96.8041,18.9278,-96.8041,4.0,4,0,0
108498,5500,21,Femenino,1,7500,7500,0,3254,633,Puebla Oriente,-3000,0,Urbano,19.24144,-97.80812,19.24144,-97.80812,5.3,10,0,0
102291,3500,41,Femenino,2,6295,6295,3811,544,724,Cuautla,3000,1270,Urbano,18.5025,-98.7536,18.5025,-98.7536,8.3,9,1,0
121285,3500,19,Femenino,0,9473,9474,9549,7427,0,Orizaba,2000,9549,Semiurbano,18.8338,-97.15671666666668,18.804,-97.1787,0.0,1,1,0
114432,5500,38,Masculino,0,9433,9433,18734,4496,353,Orizaba,13300,18734,Urbano,18.872,-97.1012,18.872,-97.1012,0.9,12,0,0
107393,3500,31,Femenino,2,9430,9430,10849,4122,525,Orizaba,6200,3616,Urbano,18.8508,-97.098,18.8508,-97.098,2.2,10,0,0
190687,10000,24,Femenino,1,9495,9495,0,5107,504,Cordoba,-5000,0,Urbano,18.84745,-96.9106,18.84745,-96.9106,2.0,2,1,0
85588,6000,20,Femenino,0,9416,9416,5531,0,518,Cordoba,5000,5531,Rural,19.00486666666667,-97.0326,19.00486666666667,-97.0326,2.1,5,1,0
77714,3500,43,Femenino,2,7510,7510,12141,3311,678,Puebla Oriente,8000,4047,Rural,19.0705,-97.7471,19.0705,-97.7471,8.3,3,0,0
139037,5500,47,Femenino,1,7416,7416,0,8454,510,Puebla Poniente,-8000,0,Urbano,19.165713333333333,-98.42152666666668,19.165713333333333,-98.42152666666668,2.1,5,1,0
89113,3500,28,Masculino,2,6295,6295,2763,1657,632,Cuautla,1000,921,Urbano,18.5025,-98.7536,18.5025,-98.7536,5.3,6,0,0
69191,3500,22,Femenino,0,7040,7040,13354,6677,454,Oaxaca,6000,13354,Urbano,16.907600000000002,-96.42645,16.907600000000002,-96.42645,1.5,1,1,0
70134,5500,32,Femenino,0,7127,7127,11128,7233,606,Oaxaca,3500,11128,Rural,16.9909,-96.7132,16.9909,-96.7132,4.6,1,1,1
120596,5500,55,Femenino,0,9455,9448,8488,3183,445,Cordoba,5000,8488,Urbano,18.9324,-96.9385,18.953016666666667,-96.94738333333332,1.3,1,0,0
165372,7500,27,Femenino,0,9410,9410,14499,5178,463,Cordoba,9000,14499,Urbano,19.2673,-96.96505,19.3977,-96.9904,1.5,10,0,0
109240,3500,33,Femenino,0,7416,7416,14647,5424,0,Puebla Poniente,8500,14647,Urbano,19.165713333333333,-98.42152666666668,19.165713333333333,-98.42152666666668,0.0,10,0,1
139961,4000,44,Femenino,0,9467,9448,14795,6341,415,Cordoba,8000,14795,Urbano,18.9018,-96.93785,18.953016666666667,-96.94738333333332,1.2,5,1,0
108769,3500,32,Femenino,3,7510,7510,0,3471,598,Puebla Oriente,-3200,0,Rural,19.0705,-97.7471,19.0705,-97.7471,4.0,10,0,0
120494,3000,19,Femenino,0,9448,9448,13263,2758,571,Cordoba,9900,13263,Unknown,18.953016666666667,-96.94738333333332,18.953016666666667,-96.94738333333332,3.2,1,0,0
80664,3500,46,Femenino,1,9441,9486,11039,8279,513,Orizaba,2500,5519,Urbano,18.806366666666666,-97.09823333333334,18.8056,-97.0987,2.1,4,0,0
99742,3500,55,Masculino,0,7500,7500,10938,2734,625,Puebla Oriente,7500,10938,Urbano,19.24144,-97.80812,19.24144,-97.80812,5.3,8,0,0
141406,3500,27,Femenino,3,7378,7379,0,6317,449,Puebla Oriente,-6000,0,Rural,19.4675,-97.687,19.49155,-97.67575,1.3,6,1,1
150501,5500,44,Femenino,1,9430,9430,0,4688,480,Orizaba,-4500,0,Urbano,18.8508,-97.098,18.8508,-97.098,1.8,7,1,0
129141,4500,54,Femenino,0,9473,9473,6870,3171,528,Orizaba,3500,6870,Urbano,18.84103333333333,-97.13744,18.84103333333333,-97.13744,2.2,3,1,1
122288,4500,39,Femenino,2,9430,9439,9010,4240,486,Orizaba,4500,3003,Urbano,18.8508,-97.098,18.8401,-97.09076666666668,1.8,2,0,0
160233,5500,59,Femenino,0,9094,9094,10413,4165,461,Puebla Norte,6000,10413,Urbano,19.12875,-98.16525,19.12875,-98.16525,1.5,9,1,1
158065,4500,39,Femenino,0,9496,9496,10418,3125,419,Cordoba,7000,10418,Rural,18.90464,-96.78908,18.8935,-96.79776666666665,1.2,8,0,1
90223,6000,25,Femenino,0,7511,7511,11052,0,477,Puebla Oriente,10000,11052,Urbano,19.11098,-97.96002,19.11098,-97.96002,1.6,6,1,1
101218,3500,25,Femenino,2,6296,6295,8712,6534,462,Cuautla,2000,2904,Rural,18.5603,-98.7762,18.5025,-98.7536,1.5,9,0,0
77211,3500,36,Femenino,2,7294,7294,11258,3311,687,Puebla Oriente,7200,3752,Urbano,19.095,-98.0667,19.095,-98.0667,8.3,3,0,0
121195,5500,33,Masculino,0,7124,7132,15915,7427,606,Oaxaca,8000,15915,Urbano,17.05905,-96.7304,16.9511,-96.9712,4.6,1,0,1
104148,3500,42,Masculino,1,7131,7131,3811,10890,639,Oaxaca,-6500,1905,Urbano,16.956875,-96.757825,16.928575000000002,-96.743425,6.1,9,0,0
75755,3500,44,Femenino,0,9046,9046,7174,3311,491,Puebla Norte,3500,7174,Urbano,19.40686666666667,-98.03701666666666,19.40686666666667,-98.03701666666666,1.9,3,1,1
68322,6000,36,Femenino,0,9446,9446,7233,0,414,Cordoba,6500,7233,Urbano,18.951633333333334,-97.01476666666667,18.951633333333334,-97.01476666666667,1.2,1,1,1
92597,4500,42,Femenino,2,9414,9414,10999,3299,530,Cordoba,7000,3666,Urbano,19.048354545454547,-97.09525454545457,19.048354545454547,-97.09525454545457,2.6,7,0,0
116612,3500,23,Femenino,1,7378,7378,16057,4282,391,Puebla Oriente,11000,8028,Rural,19.4675,-97.687,19.4675,-97.687,0.9,12,0,0
161346,3500,43,Masculino,1,7440,7440,0,4686,446,Puebla Poniente,-4500,0,Semiurbano,18.602,-98.4666,18.602,-98.4666,1.3,9,0,0
91647,3500,43,Femenino,2,7298,7298,5279,3079,595,Puebla Oriente,2000,1759,Urbano,19.04407619047619,-98.0449761904762,19.04407619047619,-98.0449761904762,4.0,7,1,1
84312,6000,55,Femenino,0,6274,6274,8850,0,439,Cuautla,8000,8850,Urbano,18.848171428571423,-98.9604,18.82298,-98.98586,1.3,5,1,1
158755,3500,23,Femenino,1,7250,7200,0,7293,383,Puebla Poniente,-7000,0,Urbano,19.0313,-98.1916,19.0479,-98.1907,0.9,8,1,0
93715,3500,41,Masculino,3,9443,9443,13199,11879,615,Orizaba,1200,3299,Urbano,18.88128571428572,-97.13495714285716,18.88128571428572,-97.13495714285716,5.3,7,0,0
91218,5500,34,Femenino,1,9447,9447,13199,4289,419,Cordoba,8100,6599,Semiurbano,18.9111,-96.9937,18.9111,-96.9937,1.2,7,0,0
86482,3500,19,Masculino,0,7200,7200,0,0,546,Puebla Poniente,0,0,Urbano,19.0479,-98.1907,19.0479,-98.1907,2.75,5,1,1
98067,3500,34,Femenino,2,7520,7520,13126,6563,612,Puebla Oriente,6000,4375,Urbano,18.97357,-97.898145,18.97357,-97.898145,4.6,8,0,0
83160,3500,32,Femenino,2,7122,7122,16595,10510,497,Oaxaca,5500,5531,Rural,17.0638,-96.73095,17.0583,-96.6833,1.9,5,0,0
78302,6000,24,Femenino,0,7416,7416,11037,4194,539,Puebla Poniente,6200,11037,Rural,19.2129,-98.3821,19.165713333333333,-98.42152666666668,2.75,3,1,1
122346,4500,50,Femenino,1,9454,9457,13250,5088,540,Cordoba,7700,6625,Urbano,18.88776,-96.96706,18.902075,-96.9444,2.75,2,0,0
113135,3500,33,Femenino,1,5688,5688,0,5390,606,Cuautla,-5000,0,Urbano,19.0260375,-98.823975,19.0260375,-98.823975,4.6,11,0,0
94399,3500,31,Femenino,2,6252,6252,12099,4399,428,Cuautla,7000,4033,Rural,18.97223333333333,-99.06845,18.995571428571427,-99.09567142857144,1.2,7,0,0
104096,5500,34,Femenino,1,9414,9414,7078,2722,480,Cordoba,4000,3539,Urbano,19.048354545454547,-97.09525454545457,19.048354545454547,-97.09525454545457,1.8,9,0,0
89968,6000,40,Masculino,0,6827,6801,16578,8841,460,Oaxaca,7000,16578,Urbano,17.11635,-96.7372,17.10575,-96.7343,1.5,6,1,1
121361,3500,53,Femenino,0,7262,7262,8276,4774,418,Puebla Poniente,3300,8276,Rural,19.1676,-98.3076,19.1676,-98.3076,1.2,1,1,1
71519,4500,33,Femenino,0,9074,9074,8300,6418,539,Puebla Norte,1700,8300,Urbano,19.2159,-98.23941428571428,19.2159,-98.23941428571428,2.75,2,1,1
97144,3500,33,Femenino,3,9446,9430,8751,3828,480,Orizaba,4500,2187,Urbano,18.89908,-97.0576,18.8508,-97.098,1.8,8,1,0
127827,5500,21,Femenino,0,9410,9410,12684,3171,415,Cordoba,9000,12684,Urbano,19.3977,-96.9904,19.3977,-96.9904,1.2,3,0,0
75104,3500,25,Femenino,1,9416,9416,13796,9381,405,Cordoba,4000,6898,Rural,19.00486666666667,-97.0326,19.00486666666667,-97.0326,0.9,3,0,0
115891,11000,20,Femenino,0,9416,9416,10705,5352,509,Cordoba,5000,10705,Rural,19.00486666666667,-97.0326,19.00486666666667,-97.0326,2.0,12,1,1
146816,3500,58,Masculino,0,5688,5680,17713,6251,424,Cuautla,11000,17713,Urbano,19.0260375,-98.823975,19.043666666666667,-98.8036,1.2,7,0,0
111550,3500,29,Femenino,3,7123,7123,10780,5390,556,Oaxaca,5000,2695,Urbano,17.016242857142856,-96.74754285714286,17.030383333333333,-96.75216666666668,2.9,11,0,0
75457,3500,29,Femenino,0,5697,5697,7615,0,471,Cuautla,6900,7615,Urbano,19.0312,-98.7169,19.0312,-98.7169,1.6,3,1,1
134508,6500,33,Femenino,1,9413,9414,12658,2109,471,Cordoba,10000,6329,Rural,19.1201,-97.0937,19.048354545454547,-97.09525454545457,1.6,4,0,0
165553,3500,36,Femenino,2,5668,5668,0,8285,555,Cuautla,-8000,0,Rural,19.217,-98.8417,19.233600000000003,-98.86112,2.9,10,1,1
