id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
152737,5500,37,Femenino,1,0,8334,490,-8000,0,1.9,8,0,1
79853,6000,51,Femenino,0,9935,6623,474,3000,9935,1.6,4,0,0
122024,3500,39,Femenino,1,10610,5305,455,5000,5305,1.5,1,0,1
136316,4000,23,Femenino,0,6869,2642,440,4000,6869,1.3,5,0,0
130434,4500,26,Masculino,0,5274,2109,416,3000,5274,1.2,4,0,0
206534,6500,48,Femenino,2,0,8096,415,-8000,0,1.2,5,1,0
94113,5500,59,Masculino,1,8579,7149,441,1300,4289,1.3,7,0,1
125726,4500,28,Femenino,0,10600,3180,405,7000,10600,0.9,2,0,1
204452,5500,63,Masculino,1,0,22329,469,-22000,0,1.6,4,0,0
167099,10500,53,Masculino,0,0,4142,669,-4000,0,8.3,10,1,0
97615,5500,34,Femenino,2,10938,3281,406,7000,3646,0.9,8,0,1
143386,4000,23,Femenino,0,0,3158,555,-3000,0,2.9,6,1,0
145850,3500,35,Femenino,2,16845,10528,0,6000,5615,0.0,6,0,0
127240,16000,27,Masculino,0,5285,2114,406,3000,5285,0.9,3,0,0
83700,6000,53,Femenino,2,5531,1659,549,3500,1843,2.9,5,0,1
126276,3500,49,Masculino,0,0,5285,518,-5000,0,2.1,3,1,1
110917,4000,27,Masculino,2,8409,4851,406,3300,2803,0.9,11,1,0
76700,3500,29,Masculino,0,11037,3973,0,6400,11037,0.0,3,1,0
172518,5500,47,Femenino,3,0,1340,458,-1300,0,1.5,11,1,1
70807,3500,38,Femenino,0,14387,0,484,13000,14387,1.8,2,1,0
124714,3500,35,Masculino,2,12720,11660,462,1000,4240,1.5,2,0,0
174698,3500,35,Femenino,3,9796,1340,493,8200,2449,1.9,11,0,0
99917,4500,45,Femenino,1,9845,4484,566,4900,4922,3.2,8,0,0
91761,5500,18,Femenino,1,13199,4399,489,8000,6599,1.8,7,0,0
160155,3500,23,Masculino,0,10934,4686,526,6000,10934,2.2,9,1,0
90124,13500,28,Masculino,2,13262,8841,541,4000,4420,2.75,6,1,0
103804,5500,36,Femenino,1,8712,2178,582,6000,4356,3.5,9,0,0
81667,6000,48,Femenino,0,10487,6071,548,4000,10487,2.75,4,0,0
84300,3500,52,Femenino,0,13276,0,565,12000,13276,3.2,5,0,1
