index,Monto,Edad Solicitud,Genero,Dependientes,CP,Ingresos,Egresos,Unidad,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Score Agt,TipoZona,CP_Latitud,CP_Longitud,Mes inicial,Prediction,Incobrable
211669,9000,26,Femenino,1,7378,0,6072,Puebla Oriente,2,5060,1.270862471,0.986554254,0.91665223,Rural,19.4675,-97.687,5,0,0
97776,8000,42,Femenino,1,7267,8532,6782,Puebla Poniente,8,5469,1.202845409,1.008074732,0.916102081,Rural,19.136,-98.30565,8,0,0
163421,8000,34,Femenino,3,7457,9892,1353,Puebla Poniente,2,5206,1.643292683,1.055119127,1.003473593,Rural,18.5827125,-98.4465,9,0,0
193460,10500,41,Femenino,2,9045,0,6109,Puebla Norte,3,7128,1.195986692,1.0211761,1.009079429,Urbano,19.40008333333333,-98.17808333333332,3,0,0
156377,14000,51,Masculino,1,9414,0,1250,Cordoba,2,10418,1.19951993,1.031910149,1.007270891,Urbano,19.048354545454547,-97.09525454545457,8,0,0
67201,3500,32,Femenino,0,5697,8680,890,Cuautla,2,3338,0.895818313,0.0,0.63024466,Urbano,19.0312,-98.7169,1,1,1
218467,6000,45,Femenino,2,9446,0,5032,Orizaba,2,3019,1.130975348,1.003914904,0.998776253,Urbano,18.8746,-97.03741111111113,7,0,0
153984,3500,61,Femenino,0,9045,10418,3125,Puebla Norte,2,3125,0.893039049,0.965796054,0.985361838,Urbano,19.40008333333333,-98.17808333333332,8,0,0
228264,9500,45,Femenino,0,7512,0,2011,Puebla Oriente,3,11568,0.93326549,0.988384803,0.917053964,Rural,19.22985,-97.8167,8,0,0
174839,5500,49,Femenino,0,6275,11342,6187,Cuautla,2,5155,0.945585216,0.987026287,0.923514371,Urbano,18.86267,-98.93495,11,0,0
161919,5500,60,Masculino,0,9433,15620,6144,Orizaba,3,5727,1.063657407,1.0,1.018083464,Urbano,18.8752,-97.1009,9,0,0
221431,5500,47,Femenino,3,6293,8052,7046,Cuautla,4,5032,1.063131313,1.006076244,0.846972185,Urbano,18.6808,-98.8034,7,1,0
195711,17500,52,Femenino,0,6273,18329,6109,Cuautla,2,10183,1.845816464,1.065921957,0.709339308,Urbano,18.9026,-98.9717,3,1,1
163096,8500,40,Femenino,0,6273,8330,6248,Cuautla,3,5727,1.194179894,1.007546239,1.025127629,Urbano,18.9026,-98.9717,9,0,0
85228,6000,31,Femenino,2,9051,7744,5531,Puebla Norte,5,3319,1.399828767,1.036591533,0.976356342,Urbano,19.40274285714285,-97.91162857142857,5,0,0
131583,4500,37,Femenino,2,7416,7911,6856,Puebla Poniente,12,8439,1.00120355,0.965825424,0.971699922,Urbano,19.165713333333333,-98.42152666666668,4,0,0
206776,10500,59,Femenino,0,7440,15181,1315,Puebla Poniente,7,7084,1.13420164,1.013394101,0.999965185,Semiurbano,18.602,-98.4666,5,0,0
73635,11500,44,Femenino,0,9493,9738,0,Cordoba,3,8300,1.278518208,0.0,0.731572627,Rural,18.834875,-96.81465,2,1,1
124290,10000,27,Femenino,3,6825,9540,4240,Oaxaca,3,6890,1.290759555,1.014058219,1.01720011,Rural,17.1692,-96.80775,2,0,0
129893,7500,62,Femenino,0,9418,12684,3699,Cordoba,3,15855,1.063778119,1.002630941,1.028926098,Rural,19.04941666666667,-96.95793333333334,3,0,0
160501,9000,31,Femenino,2,6826,0,2967,Oaxaca,2,4686,1.641855204,1.044558522,0.783130608,Urbano,17.106749999999998,-96.86055,9,1,1
153154,3500,49,Femenino,0,9446,6772,3646,Cordoba,5,3125,1.060483871,1.0,1.002387692,Urbano,18.951633333333334,-97.01476666666667,8,0,0
77933,11500,33,Femenino,0,9494,12141,0,Cordoba,2,7726,1.052554745,0.0,0.746734618,Rural,18.83765,-96.90025,3,1,1
96510,5500,43,Femenino,2,9410,16955,1531,Cordoba,2,5469,1.124845996,0.0,1.008974308,Urbano,19.3977,-96.9904,8,0,0
216133,5000,19,Femenino,0,7520,44408,2018,Puebla Oriente,5,5046,1.063131313,0.997601016,0.993726541,Rural,19.000275,-97.925125,6,0,0
176470,7500,49,Femenino,1,9430,0,3081,Orizaba,2,5136,1.06351626,1.009021701,1.010300103,Urbano,18.8508,-97.098,12,0,0
222475,16000,62,Femenino,1,6801,0,4227,Oaxaca,6,14595,1.134124215,1.003903356,0.997673937,Urbano,17.10575,-96.7343,7,0,0
205613,8000,42,Masculino,2,5680,0,5074,Cuautla,2,8119,2.076740506,1.096117754,0.9893591,Urbano,19.043666666666667,-98.8036,4,1,1
116921,10000,52,Masculino,0,7285,14987,6423,Puebla Poniente,5,7493,1.134695864,1.015656238,0.633855801,Urbano,18.960625,-98.305825,12,1,1
163090,10500,23,Masculino,2,7553,8330,5727,Puebla Oriente,3,7810,1.278434365,1.013250076,0.930014361,Rural,18.9287,-97.5107,9,0,0
114155,4500,29,Femenino,0,6814,20339,7493,Oaxaca,4,6423,1.063777683,1.0,0.994439114,Urbano,17.1126,-96.75685,12,0,0
205317,8500,55,Femenino,0,7124,0,5074,Oaxaca,3,6597,1.001106399,0.963279943,0.969121061,Urbano,17.042066666666667,-96.6847,4,1,0
69068,7500,29,Femenino,2,7127,7790,556,Oaxaca,2,5007,1.278714436,0.0,0.683740597,Rural,16.9909,-96.7132,1,1,1
102602,14500,34,Femenino,2,7416,13068,6534,Puebla Poniente,8,14157,1.119538421,0.975051826,0.972234582,Urbano,19.165713333333333,-98.42152666666668,9,0,0
104933,7000,41,Femenino,0,7231,4339,2169,Puebla Norte,2,5424,1.122655715,0.989677716,0.666107102,Urbano,19.069975,-98.166425,10,1,1
