id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Score Agt,Mes inicial,Prediction,Incobrable
173116,5500,19,Femenino,0,10311,8249,2,5155,1.134417344,1.003902284,1.02858275,11,0,0
93154,13500,43,Femenino,1,21998,16499,5,11549,1.503911519,1.032752825,1.004955837,7,0,0
135904,6500,24,Femenino,2,12682,2853,8,3170,1.001208703,0.964213813,0.988789814,5,0,1
212529,13500,33,Femenino,2,0,6831,2,5060,1.278632479,1.02039088,0.910932239,5,1,0
80453,12500,50,Femenino,0,17663,8831,5,9935,1.63556582,1.069142706,0.703846409,4,1,1
113673,10000,28,Femenino,3,6423,8564,4,7493,1.291970803,1.029446792,0.983391634,12,0,0
103023,7000,48,Femenino,1,23959,0,4,6534,1.001202525,0.0,0.964506323,9,0,0
180209,10500,19,Femenino,0,15408,6163,3,7704,1.278532609,1.013361361,0.726541563,12,1,1
173467,6500,31,Masculino,1,0,3093,2,3609,1.305348391,1.018150665,0.865575117,11,1,1
87571,17000,43,Femenino,0,22104,0,3,16578,1.063778119,0.992411993,0.739774625,6,1,1
91301,5500,49,Femenino,0,12099,0,2,3299,2.029109589,1.095039795,0.983812165,7,0,1
114772,5500,22,Femenino,1,10276,4282,2,3211,1.309272919,1.034436245,1.027367564,12,0,0
141113,11000,26,Masculino,0,0,2105,2,3158,2.73655914,1.193783069,1.036575738,6,0,0
85561,5500,45,Femenino,2,12170,7744,2,5310,1.120797721,0.832671908,0.995429101,5,0,0
208354,3500,22,Masculino,0,9109,8096,5,3036,1.060289389,0.999947379,0.976814823,5,0,0
111032,8500,57,Femenino,0,21561,7007,4,5929,1.295396054,1.014365258,1.022143304,11,0,0
85603,6000,19,Femenino,1,10178,4425,2,3319,1.001208703,0.878207913,0.933192969,5,1,0
214283,5000,21,Masculino,0,0,4541,2,5046,1.000594177,0.972323483,0.942138337,6,0,0
74683,7000,22,Femenino,1,11037,3311,2,4414,1.001206637,0.0,0.830210547,3,1,0
148781,8000,32,Masculino,0,15108,4167,2,5209,1.063783368,1.017894046,1.014619684,7,0,0
162675,7500,39,Masculino,1,7810,3853,2,5206,1.286585366,1.000118716,0.732182351,9,1,1
141228,8000,22,Femenino,2,11581,22636,3,5790,1.37654321,1.0206806,0.977764978,6,0,0
68530,6000,61,Masculino,0,8902,0,3,5564,0.895817573,0.0,0.702139094,1,1,1
68366,8000,33,Femenino,0,13354,0,3,5007,1.063784247,0.0,0.0,1,1,1
201301,12500,45,Femenino,2,16239,6597,3,15224,1.063645621,1.011505082,0.995131729,4,0,0
193464,7500,22,Femenino,0,9193,6946,2,5107,1.00095648,0.996735149,1.030455185,2,0,0
215173,13500,31,Femenino,2,0,10092,2,7064,0.739953168,0.838775779,0.901768132,6,1,0
84763,6000,20,Femenino,0,12170,0,2,3319,2.015410959,1.088872174,0.773823914,5,1,1
127543,8500,44,Femenino,0,16912,4756,3,5813,1.196362188,1.023604415,1.03800725,3,0,1
217778,5500,32,Masculino,3,14432,8074,4,6055,1.215128885,1.009325709,0.977109072,6,0,1
91421,4000,43,Femenino,0,12099,4399,2,3299,1.063784247,1.000316835,0.991242599,7,0,0
228088,15000,46,Masculino,1,9053,4023,3,7544,2.068386915,1.018907962,0.921794852,8,1,0
185414,6000,58,Femenino,0,10243,5121,2,5121,1.200493612,0.999056033,0.805226956,1,1,1
149224,6500,46,Femenino,1,8335,5209,3,6251,1.181421295,0.939605959,0.62977196,7,1,1
190980,4500,34,Masculino,0,0,10725,2,3064,1.060483871,1.0,0.987870274,2,0,0
104520,9000,42,Femenino,2,10890,3267,2,4356,1.702051282,1.087586929,0.986399136,9,0,0
106472,13500,66,Femenino,0,18444,3254,6,16274,1.215746421,1.012716405,1.021655907,10,0,0
80049,7000,23,Femenino,1,9052,4195,4,6623,0.895812786,0.0,0.63179226,4,1,1
219369,5500,50,Masculino,0,12079,4026,3,3019,1.060289389,0.998613023,0.85356921,7,1,0
151707,10500,29,Femenino,1,10419,2083,5,9377,1.063631222,1.010877471,1.01163665,7,0,0
181818,10500,38,Femenino,2,9245,6163,9,8217,1.215650591,0.970309999,0.950715756,12,0,0
74815,6000,42,Masculino,0,8829,0,4,5518,1.063783368,0.0,0.680411156,3,1,1
220274,7500,35,Femenino,2,0,6844,2,5032,1.417508418,0.949222739,0.885182905,7,1,1
125824,8000,31,Femenino,3,4240,2120,4,7950,1.098044566,0.908589441,0.98921116,2,0,1
77647,6000,47,Femenino,0,8829,0,2,3311,2.023972603,1.125274987,1.034970056,3,0,1
148187,6000,26,Femenino,0,6251,3334,2,3125,7.462328767,2.318200802,0.946949589,7,1,1
99306,10000,51,Femenino,1,10938,6563,3,7657,1.384306569,1.048298805,1.003075505,8,0,0
193488,10500,38,Femenino,1,0,4085,2,3064,1.380645161,1.009450241,0.887757266,2,1,1
131863,3500,62,Masculino,3,5274,3164,2,2109,1.063782051,1.015405365,0.984636349,4,0,0
182187,9500,47,Femenino,3,0,4097,3,9218,1.13453997,1.003901836,1.008684859,1,0,0
108195,10000,33,Femenino,2,8679,2712,2,7594,1.215745568,1.024518179,0.715494928,10,1,1
171818,5500,43,Femenino,3,4132,5,4,6187,0.65463242,0.0,0.986957257,11,0,0
86010,3500,50,Femenino,0,9957,0,2,2212,1.204395604,1.026486075,0.995286147,5,0,0
150587,7000,45,Femenino,2,9898,2083,2,4167,1.378613946,1.034730897,1.017374895,7,0,0
207617,13500,24,Femenino,1,15181,8096,8,11133,1.286552602,1.021559117,1.013110881,5,0,0
173517,7500,42,Femenino,2,13405,6187,4,7218,0.945495714,0.95543936,0.96206199,11,0,0
80163,7000,32,Femenino,0,9383,0,2,3311,1.278714436,1.011475489,0.689788337,4,1,1
82403,6000,52,Femenino,1,11039,0,5,6623,1.215745924,1.008876791,1.000997977,4,0,0
139973,4500,30,Femenino,3,15852,8454,2,3170,1.063784247,1.02606975,1.021575168,5,0,0
150911,8000,51,Masculino,3,9377,12503,2,5209,1.377879404,1.024084376,0.849750082,7,1,1
139246,5500,24,Femenino,0,9722,3804,2,3170,1.001208703,0.910262854,1.006903662,5,0,0
163600,9500,51,Femenino,0,10413,6248,4,8330,1.50179502,1.031204734,0.796382023,9,1,1
201406,16000,36,Masculino,3,15224,8119,5,10657,1.278078034,1.018035005,1.022866254,4,0,0
148826,4500,52,Femenino,0,15108,8335,3,4167,0.851025641,0.974106279,1.003870986,7,0,1
130171,5500,26,Femenino,0,6342,4228,2,3171,1.272918862,0.975939692,0.710858524,3,1,1
126366,7500,42,Masculino,1,3699,10570,3,5813,1.276808693,0.974734801,1.006110345,3,0,0
197951,6500,36,Femenino,1,18329,7128,3,5091,0.933239263,0.0,0.961088187,3,0,1
187559,10500,49,Femenino,0,9116,2560,9,10243,1.063645621,1.003617913,0.0,1,1,0
93028,8000,36,Femenino,0,8799,0,2,5499,1.63449692,1.061012735,0.64752773,7,1,1
157171,7500,42,Masculino,1,16669,5209,2,6251,1.385257499,1.021069799,1.017349392,8,0,0
174328,4000,65,Femenino,0,0,4640,2,5155,0.680650407,0.788943496,0.660554543,11,1,1
