index,Monto,Genero,Dependientes,CP,CP Aval,Ingresos,Egresos,Score CC,Unidad,Frecuencia_Ant,Deficit,IngresoPercapita,TipoZona,CP_Latitud,CP_Longitud,CP_Aval_Latitud,CP_Aval_Longitud,Odds,Mes inicial,Prediction,Incobrable
140418,4500,Femenino,1,5698,5697,17966,5284,430,Cuautla,1.134696195,12000,8983,Rural,19.0607,-98.77733333333332,19.0312,-98.7169,1.2,5,1,0
133855,3500,Masculino,0,9441,9441,6856,7911,625,Orizaba,1.063782051,-1000,6856,Urbano,18.806366666666666,-97.09823333333334,18.806366666666666,-97.09823333333334,5.3,4,0,0
141047,8000,Femenino,0,7221,7221,8454,3170,587,Puebla Norte,1.194047619,5000,8454,Urbano,19.07612857142857,-98.17524285714283,19.07612857142857,-98.17524285714283,4.0,5,0,0
136588,8000,Femenino,0,9473,9485,15852,3698,512,Orizaba,1.418377823,11500,15852,Urbano,18.84103333333333,-97.13744,18.7832,-97.08795,2.1,5,1,1
77703,4500,Masculino,1,7429,7429,9933,4414,632,Puebla Poniente,1.2,5000,4966,Urbano,18.89442,-98.44016,18.89442,-98.44016,5.3,3,0,0
142133,3500,Masculino,1,9418,9418,13687,7369,420,Cordoba,1.063782051,6000,6843,Rural,19.04941666666667,-96.95793333333334,19.04941666666667,-96.95793333333334,1.2,6,0,0
141704,5500,Femenino,0,9043,9043,13687,4737,691,Puebla Norte,1.063784247,8500,13687,Urbano,19.491,-98.0637,19.46616,-98.09848,8.3,6,0,0
130193,11000,Femenino,3,7296,7296,10041,4228,513,Puebla Poniente,1.383949192,5500,2510,Rural,18.914075,-98.1718,18.914075,-98.1718,2.1,3,1,0
135992,10000,Femenino,0,7516,7516,10568,5284,578,Puebla Oriente,1.103849115,5000,10568,Rural,19.138766666666665,-97.64386666666668,19.138766666666665,-97.64386666666668,3.5,5,0,0
84323,3500,Femenino,3,7400,7400,5531,9957,531,Puebla Norte,1.309270217,-4000,1382,Urbano,19.2689,-98.4285,19.2689,-98.4285,2.6,5,1,0
132884,12000,Femenino,2,7282,7280,11603,7384,601,Puebla Poniente,1.156448461,4000,3867,Urbano,19.0197625,-98.2982125,19.04743,-98.27943,4.6,4,0,1
132173,16000,Masculino,2,9417,9417,14768,6329,502,Cordoba,1.891168091,8000,4922,Urbano,19.0174,-96.9976,19.0174,-96.9976,2.0,4,0,0
116227,7500,Femenino,1,9454,9454,10491,3746,623,Cordoba,1.063783368,6300,5245,Urbano,18.88776,-96.96706,18.88776,-96.96706,5.3,12,0,0
111996,4000,Femenino,0,7457,7440,7546,3773,478,Puebla Poniente,0.0,3500,7546,Rural,18.528775,-98.480525,18.602,-98.4666,1.8,11,0,1
129511,16000,Femenino,0,9410,9410,21351,5285,432,Cordoba,1.13469666,15200,21351,Urbano,19.2673,-96.96505,19.3977,-96.9904,1.2,3,0,0
142139,6000,Femenino,2,7249,7200,12634,5264,591,Puebla Poniente,1.211981567,7000,4211,Urbano,19.014940000000003,-98.22058,19.0479,-98.1907,4.0,6,0,0
71738,11500,Femenino,0,9448,9448,11066,0,492,Cordoba,1.202868104,10000,11066,Unknown,18.953016666666667,-96.94738333333332,18.953016666666667,-96.94738333333332,1.9,2,1,1
135247,5500,Femenino,3,7561,7561,7911,4219,500,Puebla Oriente,1.271521087,3500,1977,Rural,18.826075,-97.807475,18.826075,-97.807475,2.0,4,1,0
126474,5500,Femenino,1,7454,7454,0,2642,514,Puebla Poniente,0.654635918,-2500,0,Rural,18.6779,-98.54163333333334,18.6779,-98.54163333333334,2.1,3,1,0
115186,8500,Femenino,2,7268,7267,10705,7493,424,Puebla Norte,1.134702259,3000,3568,Rural,19.1341,-98.2834,19.136,-98.30565,1.2,12,0,0
136566,11000,Femenino,0,9410,9410,12682,2113,439,Cordoba,1.309271837,10000,12682,Urbano,19.3977,-96.9904,19.3977,-96.9904,1.3,5,1,0
111867,6000,Masculino,2,7125,7125,30186,4312,439,Oaxaca,1.292149631,24000,10062,Urbano,17.0226,-96.7049,17.027,-96.6988,1.3,11,0,0
136745,7500,Masculino,1,9441,9441,7397,8454,716,Orizaba,1.063783368,-1000,3698,Urbano,18.806366666666666,-97.09823333333334,18.806366666666666,-97.09823333333334,8.3,5,0,0
116040,5500,Femenino,3,7416,7416,10705,5352,489,Puebla Poniente,1.273890381,5000,2676,Urbano,19.165713333333333,-98.42152666666668,19.165713333333333,-98.42152666666668,1.8,12,1,0
127348,5500,Femenino,0,9474,9474,8456,4756,500,Orizaba,1.172862454,3500,8456,Fake,18.7903,-97.1681,18.7903,-97.1681,2.0,3,1,1
132569,12000,Femenino,1,9496,9496,16878,6329,569,Cordoba,1.063798701,10000,8439,Rural,18.9278,-96.8041,18.9278,-96.8041,3.2,4,0,0
139958,7500,Femenino,0,9495,9494,10568,5284,412,Cordoba,1.662195122,5000,10568,Rural,18.85606,-96.89202,18.83765,-96.90025,1.2,5,1,1
136915,12000,Femenino,0,6283,6283,13210,4227,515,Cuautla,1.106830343,8500,13210,Urbano,18.9849,-98.9207,18.9849,-98.9207,2.1,5,0,0
139368,11000,Femenino,2,6296,6295,4227,1585,499,Cuautla,1.215747418,2500,1409,Rural,18.5603,-98.7762,18.5025,-98.7536,1.9,5,1,0
139950,7000,Masculino,2,6296,6295,9511,4227,458,Cuautla,1.063782051,5000,3170,Rural,18.5603,-98.7762,18.5025,-98.7536,1.5,5,1,0
129383,5500,Femenino,0,9446,9446,19026,14798,425,Cordoba,1.418377322,4000,19026,Urbano,18.951633333333334,-97.01476666666667,18.951633333333334,-97.01476666666667,1.2,3,0,0
149920,5500,Masculino,0,9448,9448,8335,4688,522,Cordoba,0.810513582,3500,8335,Unknown,18.953016666666667,-96.94738333333332,18.953016666666667,-96.94738333333332,2.2,7,1,1
137287,3500,Femenino,0,7298,7298,6869,1056,558,Puebla Oriente,1.134703196,5500,6869,Urbano,19.04407619047619,-98.0449761904762,19.04407619047619,-98.0449761904762,2.9,5,1,0
113577,3500,Masculino,0,7230,7200,6423,4282,588,Puebla Norte,1.053938356,2000,6423,Urbano,19.06525,-98.14165,19.0479,-98.1907,4.0,12,0,0
141230,4500,Femenino,2,6274,6274,13160,6317,408,Cuautla,1.19078341,6500,4386,Urbano,18.798328571428573,-98.9511,18.798328571428573,-98.9511,1.2,6,1,1
132878,5500,Masculino,1,9473,9473,10548,7384,610,Orizaba,1.001207875,3000,5274,Urbano,18.84103333333333,-97.13744,18.84075,-97.1467,4.6,4,0,0
141956,8000,Femenino,0,7201,7200,8422,8949,555,Puebla Norte,1.377879404,-500,8422,Urbano,19.104788888888887,-98.20335555555556,19.0479,-98.1907,2.9,6,1,0
102854,7000,Femenino,2,9468,9468,15791,6534,510,Cordoba,1.804699977,8500,5263,Urbano,18.90075,-96.9293,18.90075,-96.9293,2.1,9,0,0
141781,5500,Femenino,1,9030,9030,7369,4737,541,Puebla Norte,1.134696406,2500,3684,Urbano,19.4233,-98.1273,19.4233,-98.1273,2.75,6,1,1
138212,5500,Masculino,3,7410,7410,16909,10568,654,Puebla Norte,1.380645161,6000,4227,Rural,19.305966666666663,-98.55533333333334,19.305966666666663,-98.55533333333334,6.1,5,1,0
