id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
134310,3500,20,Femenino,2,6329,4746,664,3,3164,1.134703196,1.023843402,1500,2109,6.1,4,0,0
134566,15000,31,Femenino,1,12658,5274,474,6,12658,1.388961039,1.048112366,7000,6329,1.6,4,0,0
90556,3500,37,Femenino,2,15473,5526,468,2,2763,1.063780738,0.0,9000,5157,1.6,6,1,0
117714,5500,35,Femenino,0,10610,6366,525,3,7427,1.438221632,0.889166209,4000,10610,2.2,1,1,1
135020,6000,37,Femenino,0,12658,0,433,3,3164,1.063784247,0.0,12000,12658,1.2,4,1,0
112891,2500,38,Femenino,1,8624,4527,551,4,2695,0.81049961,0.0,3800,4312,2.9,11,0,0
134136,8500,33,Femenino,1,7911,2109,478,4,6329,1.501935884,1.031202759,5500,3955,1.8,4,0,0
136218,16000,29,Masculino,3,46500,5812,550,6,15852,1.418370825,1.023631465,38500,11625,2.9,5,0,0
131151,7500,43,Femenino,1,10548,3164,576,3,7384,1.385036496,1.021268338,7000,5274,3.5,4,0,0
105668,3500,59,Femenino,0,13019,2712,520,6,7460,0.894736842,0.0,9500,13019,2.2,10,0,0
142406,13000,38,Masculino,0,15792,10528,398,6,12107,1.844306663,1.03952502,5000,15792,0.9,6,0,1
134461,6000,36,Masculino,1,15823,8439,368,2,3164,1.885304659,1.070226537,7000,7911,0.9,4,1,0
111624,5500,42,Femenino,1,8624,8624,446,2,3234,1.204500978,1.027746788,0,4312,1.3,11,0,0
69961,4500,62,Femenino,1,8346,3338,436,2,3338,1.001208703,0.0,4500,4173,1.3,1,0,1
136844,13500,57,Femenino,0,9511,15852,425,4,10568,1.385081343,1.021269025,-6000,9511,1.2,5,0,0
111724,5000,19,Femenino,0,10780,9702,588,3,5390,0.977775094,0.825532404,1000,10780,4.0,11,0,0
141461,8500,20,Femenino,0,6317,1895,494,3,10528,0.945598246,0.934881965,4200,6317,1.9,6,0,0
130942,9500,53,Femenino,1,15823,7384,466,5,7384,1.18717414,0.985630841,8000,7911,1.6,4,1,1
111649,6000,57,Masculino,1,3773,12936,635,2,3234,1.063784247,1.0,-8500,1886,6.1,11,0,0
130444,6000,31,Femenino,1,15401,8439,440,5,7384,1.001202233,0.982129628,6600,7700,1.3,4,0,0
140899,15000,65,Masculino,0,10528,3684,704,2,11581,1.063798395,1.00975466,6500,10528,8.3,6,0,0
