Fecha,IPC,Inflación
01-01-19,103.108,0.374364744
01-02-19,103.079,0.374751404
01-03-19,103.476,0.36947698
01-04-19,103.531,0.368749457
01-05-19,103.233,0.37270059
01-06-19,103.299,0.371823541
01-07-19,103.687,0.366690135
01-08-19,103.67,0.366914247
01-09-19,103.942,0.363337246
01-10-19,104.503,0.356018488
01-11-19,105.346,0.345167353
01-12-19,105.934,0.337700833
01-01-20,106.447,0.331254051
01-02-20,106.889,0.325749142
01-03-20,106.838,0.326381999
01-04-20,105.755,0.339965013
01-05-20,106.162,0.334827905
01-06-20,106.743,0.327562463
01-07-20,107.444,0.318901009
01-08-20,107.867,0.313728944
01-09-20,108.114,0.310727565
01-10-20,108.774,0.30277456
01-11-20,108.856,0.301793195
01-12-20,109.271,0.296849118
01-01-21,110.21,0.285799837
01-02-21,110.907,0.27771917
01-03-21,111.824,0.267241379
01-04-21,112.19,0.263107229
01-05-21,112.419,0.260534251
01-06-21,113.018,0.253853368
01-07-21,113.682,0.246529794
01-08-21,113.899,0.244154909
01-09-21,114.601,0.236533713
01-10-21,115.561,0.226261455
01-11-21,116.884,0.212381506
01-12-21,117.308,0.207999454
01-01-22,118.002,0.2008949
01-02-22,118.981,0.191013691
01-03-22,120.159,0.179337378
01-04-22,120.809,0.172992078
01-05-22,121.022,0.1709276
01-06-22,122.044,0.161122218
01-07-22,122.948,0.152584833
01-08-22,123.803,0.144624928
01-09-22,124.571,0.137568134
01-10-22,125.276,0.131166385
01-11-22,125.997,0.124693445
01-12-22,126.478,0.120416199
01-01-23,127.336,0.112866746
01-02-23,128.046,0.106696031
01-03-23,128.389,0.103739417
01-04-23,128.363,0.10396298
01-05-23,128.084,0.106367696
01-06-23,128.214,0.105245917
01-07-23,128.832,0.099944113
01-08-23,129.545,0.093890154
01-09-23,130.12,0.089056256
01-10-23,130.609,0.08497883
01-11-23,131.445,0.078078284
01-12-23,132.373,0.070520423
01-01-24,133.555,0.061046011
01-02-24,133.681,0.06004593
01-03-24,134.065,0.057009659
01-04-24,134.336,0.054877323
01-05-24,134.087,0.056836233
01-06-24,134.594,0.052855254
01-07-24,136.003,0.041947604
01-08-24,136.013,0.041870998
01-09-24,136.08,0.041358025
01-10-24,136.828,0.035665215
01-11-24,137.424,0.031173594
01-12-24,137.949,0.027249201
01-01-25,138.343,0.024323601
01-02-25,138.726,0.02149561
01-03-25,139.161,0.018302542
01-04-25,139.62,0.014954878
01-05-25,140.012,0.012113247
01-06-25,140.405,0.009280296
01-07-25,140.78,0.006591845
01-08-25,140.867,0.00597017
01-09-25,141.197,0.003619057
01-10-25,141.708,0
